ZIPCode,Reporting_Date,ChildEthnicityHispLatino,ChildRaceAmIndAlaNat,ChildRaceAsian,ChildRaceBlackAfriAmer,ChildRaceHawaiiPacific,ChildRaceWhite,ChildRaceMult,ChildMale,ChildFemale,ChildDisability,ChildAgeInfantToddler,ChildAgePrek,ChildAgeSchAge
75008,04/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
75008,05/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
75008,06/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
76544,04/01/2023,29,*,*,47,*,35,*,49,49,*,48,32,18
76544,05/01/2023,27,*,*,46,*,33,5,47,49,*,46,32,18
76544,06/01/2023,22,*,*,45,*,30,6,43,44,*,48,26,13
77056,04/01/2023,10,*,*,18,*,5,*,23,13,*,9,14,14
77056,05/01/2023,11,*,*,17,*,6,*,22,14,*,9,14,14
77056,06/01/2023,7,*,*,17,*,5,*,19,13,*,9,13,11
77568,04/01/2023,45,*,*,80,*,51,13,89,79,6,36,65,73
77568,05/01/2023,46,*,*,83,*,54,13,92,82,6,40,67,73
77568,06/01/2023,48,*,*,82,*,61,13,92,92,6,47,66,77
78336,04/01/2023,24,*,*,5,*,33,*,30,21,*,17,25,10
78336,05/01/2023,24,*,*,6,*,36,*,34,22,*,17,31,9
78336,06/01/2023,25,*,*,6,*,36,*,35,22,*,18,31,9
78592,04/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,05/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,06/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
79104,04/01/2023,43,*,*,8,*,17,*,24,26,*,18,23,9
79104,05/01/2023,43,*,*,8,*,19,*,23,27,*,18,22,10
79104,06/01/2023,35,*,*,7,*,17,*,19,22,*,14,19,8
79360,04/01/2023,30,*,*,*,*,24,*,21,12,*,12,13,8
79360,05/01/2023,30,*,*,*,*,23,*,22,11,*,13,12,8
79360,06/01/2023,29,*,*,*,*,23,*,23,12,*,12,12,11
75009,04/01/2023,*,*,*,12,*,9,*,15,10,*,8,14,*
75009,05/01/2023,*,*,*,14,*,9,*,14,13,*,9,14,5
75009,06/01/2023,*,*,*,13,*,9,*,14,12,*,9,13,5
75265,04/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
75265,05/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
75265,06/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
76033,04/01/2023,17,*,*,9,*,52,*,37,39,*,18,28,30
76033,05/01/2023,17,*,*,9,*,51,*,34,41,*,19,28,28
76033,06/01/2023,18,*,*,9,*,49,*,30,39,*,19,26,24
76801,04/01/2023,82,*,*,17,*,171,*,102,106,*,57,79,73
76801,05/01/2023,82,*,*,17,*,176,*,104,109,*,61,79,74
76801,06/01/2023,81,*,*,19,*,178,*,106,111,*,56,84,78
77057,04/01/2023,20,*,*,41,*,32,*,39,49,*,24,36,30
77057,05/01/2023,20,*,*,44,*,32,*,40,49,*,24,36,30
77057,06/01/2023,22,*,*,43,*,35,*,40,51,*,22,35,35
77569,04/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,05/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,06/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
78593,04/01/2023,18,*,*,*,*,18,*,10,8,*,*,6,8
78593,05/01/2023,16,*,*,*,*,16,*,10,6,*,*,6,6
78593,06/01/2023,16,*,*,*,*,16,*,10,6,*,*,6,6
79105,04/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
79105,05/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
79105,06/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
75010,04/01/2023,22,*,*,65,*,12,8,45,51,*,33,32,31
75010,05/01/2023,21,*,*,63,*,14,6,44,50,*,32,34,28
75010,06/01/2023,21,*,*,68,*,17,6,45,57,*,36,34,32
