ZIPCode,ReportingDate,ReasonCC_Emp,ReasonCC_Ed,ReasonCC_EmpEd,ReasonCC_PS,ReasonCC_FedEmEmp,ReasonCC_FedEmEd,ReasonCC_FedEmEmpEd,ReasonCC_FedEmPS,AvgFamilySize,AvgMonthlyIncome,SingleParent,FamilyHomeless,FamilyMilitary,PrimLang_1,PrimLang_2,PrimLang_3,PrimLang_4,PrimLang_5,PrimLang_6,PrimLang_7,PrimLang_8,PrimLang_9,PrimLang_10,PrimLang_11,PrimLang_12
76544,01/01/2021,*,*,*,9,*,*,*,*,3,1000,10,*,*,7,*,*,*,*,*,*,*,*,*,*,7
76544,02/01/2021,*,*,*,9,*,*,*,*,3,1107,11,*,*,8,*,*,*,*,*,*,*,*,*,*,7
76544,03/01/2021,*,*,*,9,*,*,*,*,3,1107,11,*,*,8,*,*,*,*,*,*,*,*,*,*,7
77056,01/01/2021,12,*,*,*,*,*,*,*,3,2285,13,*,*,13,*,*,*,*,*,*,*,*,*,*,*
77056,02/01/2021,13,*,*,*,*,*,*,*,3,2183,14,*,*,14,*,*,*,*,*,*,*,*,*,*,*
77056,03/01/2021,12,*,*,*,*,*,*,*,3,2097,13,*,*,13,*,*,*,*,*,*,*,*,*,*,*
77568,01/01/2021,60,*,*,6,*,*,*,*,3,1972,73,*,*,71,*,*,*,*,*,*,*,*,*,*,*
77568,02/01/2021,59,*,*,6,*,*,*,*,3,1973,72,*,*,70,*,*,*,*,*,*,*,*,*,*,*
77568,03/01/2021,60,*,5,6,*,*,*,*,3,2073,73,*,*,71,*,*,*,*,*,*,*,*,*,*,*
78336,01/01/2021,25,*,*,*,*,*,*,*,3,1794,26,*,*,26,*,*,*,*,*,*,*,*,*,*,*
78336,02/01/2021,25,*,*,*,*,*,*,*,3,1767,26,*,*,27,*,*,*,*,*,*,*,*,*,*,*
78336,03/01/2021,28,*,*,*,*,*,*,*,3,1944,28,*,*,30,*,*,*,*,*,*,*,*,*,*,*
78592,01/01/2021,*,*,*,*,*,*,*,*,4,2115,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,02/01/2021,*,*,*,*,*,*,*,*,4,2115,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,03/01/2021,*,*,*,*,*,*,*,*,4,1985,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
79104,01/01/2021,25,*,*,*,*,*,*,*,4,2306,24,*,*,21,*,*,*,*,*,*,*,*,*,*,8
79104,02/01/2021,24,*,*,*,*,*,*,*,4,2309,24,*,*,20,*,*,*,*,*,*,*,*,*,*,9
79104,03/01/2021,25,*,*,*,*,*,*,*,4,2216,27,*,*,22,*,*,*,*,*,*,*,*,*,*,9
79360,01/01/2021,15,*,*,*,*,*,*,*,3,1791,17,*,*,16,*,*,*,*,*,*,*,*,*,*,*
