ZIPCode,ReportingDate,ReasonCC_Emp,ReasonCC_Ed,ReasonCC_EmpEd,ReasonCC_PS,ReasonCC_FedEmEmp,ReasonCC_FedEmEd,ReasonCC_FedEmEmpEd,ReasonCC_FedEmPS,AvgFamilySize,AvgMonthlyIncome,SingleParent,FamilyHomeless,FamilyMilitary,PrimLang_1,PrimLang_2,PrimLang_3,PrimLang_4,PrimLang_5,PrimLang_6,PrimLang_7,PrimLang_8,PrimLang_9,PrimLang_10,PrimLang_11,PrimLang_12
76544,10/01/2021,9,*,*,5,*,*,*,*,4,2044,10,*,*,14,*,*,*,*,*,*,*,*,*,*,5
76544,11/01/2021,9,*,*,6,*,*,*,*,4,1941,11,*,*,14,*,*,*,*,*,*,*,*,*,*,6
76544,12/01/2021,10,*,*,*,*,*,*,*,4,2087,9,*,*,16,*,*,*,*,*,*,*,*,*,*,*
77056,10/01/2021,17,*,*,*,*,*,*,*,3,2201,20,*,*,20,*,*,*,*,*,*,*,*,*,*,*
77056,11/01/2021,15,*,*,*,*,*,*,*,3,2091,18,*,*,18,*,*,*,*,*,*,*,*,*,*,*
77056,12/01/2021,15,*,*,*,*,*,*,*,3,2221,19,*,*,19,*,*,*,*,*,*,*,*,*,*,*
77312,10/01/2021,*,*,*,*,*,*,*,*,4,1800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77312,11/01/2021,*,*,*,*,*,*,*,*,4,1800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77312,12/01/2021,*,*,*,*,*,*,*,*,4,1800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77568,10/01/2021,74,*,5,5,*,*,*,*,3,2079,89,*,*,88,*,*,*,*,*,*,*,*,*,*,*
77568,11/01/2021,74,5,*,5,*,*,*,*,3,2071,89,*,*,88,*,*,*,*,*,*,*,*,*,*,*
77568,12/01/2021,73,6,*,*,*,*,*,*,3,2041,91,*,*,90,*,*,*,*,*,*,*,*,*,*,*
78336,10/01/2021,28,*,*,*,*,*,*,*,3,1965,28,*,*,30,*,*,*,*,*,*,*,*,*,*,*
78336,11/01/2021,27,*,*,*,*,*,*,*,3,1806,28,*,*,32,*,*,*,*,*,*,*,*,*,*,*
78336,12/01/2021,24,*,*,*,*,*,*,*,3,1835,26,*,*,31,*,*,*,*,*,*,*,*,*,*,*
78592,10/01/2021,*,*,*,*,*,*,*,*,4,1985,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,11/01/2021,*,*,*,*,*,*,*,*,4,1985,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,12/01/2021,*,*,*,*,*,*,*,*,4,1985,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
79104,10/01/2021,32,*,*,*,*,*,*,*,4,1847,34,*,*,30,*,*,*,*,*,*,*,*,*,*,10
79104,11/01/2021,31,*,*,*,*,*,*,*,4,1922,31,*,*,30,*,*,*,*,*,*,*,*,*,*,8
79104,12/01/2021,32,*,*,*,*,*,*,*,4,1942,32,*,*,31,*,*,*,*,*,*,*,*,*,*,8
79360,10/01/2021,20,*,*,*,*,*,*,*,4,2085,20,*,*,18,*,*,*,*,*,*,*,*,*,*,*
79360,11/01/2021,19,*,*,*,*,*,*,*,4,2072,19,*,*,17,*,*,*,*,*,*,*,*,*,*,*
79360,12/01/2021,21,*,*,*,*,*,*,*,4,2121,19,*,*,19,*,*,*,*,*,*,*,*,*,*,*
75009,10/01/2021,8,*,*,*,*,*,*,*,4,3505,8,*,*,6,*,*,*,*,*,*,*,*,*,*,*
75009,11/01/2021,9,*,*,*,*,*,*,*,4,3371,9,*,*,7,*,*,*,*,*,*,*,*,*,*,*
75009,12/01/2021,9,*,*,*,*,*,*,*,4,3371,9,*,*,7,*,*,*,*,*,*,*,*,*,*,*
76033,10/01/2021,28,*,*,*,*,*,*,*,4,2154,35,*,*,36,*,*,*,*,*,*,*,*,*,*,*
76033,11/01/2021,32,*,*,*,*,*,*,*,4,2237,38,*,*,39,*,*,*,*,*,*,*,*,*,*,*
76033,12/01/2021,29,*,*,*,*,*,*,*,4,2143,36,*,*,37,*,*,*,*,*,*,*,*,*,*,*
76801,10/01/2021,85,*,*,*,*,*,*,*,3,2332,88,*,*,97,*,*,*,*,*,*,*,*,*,*,*
76801,11/01/2021,80,*,*,5,*,*,*,*,3,2335,84,*,*,92,*,*,*,*,*,*,*,*,*,*,*
76801,12/01/2021,84,*,*,5,*,*,*,*,3,2359,87,*,*,96,*,*,*,*,*,*,*,*,*,*,*
77057,10/01/2021,45,11,5,*,*,*,*,*,3,1758,57,*,*,58,*,*,*,*,*,*,*,*,*,*,*
77057,11/01/2021,46,10,5,*,*,*,*,*,3,1721,60,*,*,62,*,*,*,*,*,*,*,*,*,*,*
77057,12/01/2021,48,10,5,*,*,*,5,5,3,1743,62,*,*,65,*,*,*,*,*,*,*,*,*,*,*
77569,10/01/2021,*,*,*,*,*,*,*,*,3,1763,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,11/01/2021,*,*,*,*,*,*,*,*,3,1763,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,12/01/2021,*,*,*,*,*,*,*,*,3,1763,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78593,10/01/2021,14,*,*,*,*,*,*,*,3,1814,16,*,*,16,*,*,*,*,*,*,*,*,*,*,*
78593,11/01/2021,13,*,*,*,*,*,*,*,3,1727,16,*,*,16,*,*,*,*,*,*,*,*,*,*,*
78593,12/01/2021,12,*,*,*,*,*,*,*,3,1697,15,*,*,15,*,*,*,*,*,*,*,*,*,*,*
79105,10/01/2021,*,*,*,*,*,*,*,*,4,2235,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
79105,11/01/2021,*,*,*,*,*,*,*,*,4,2235,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
79105,12/01/2021,*,*,*,*,*,*,*,*,4,2235,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75010,10/01/2021,40,5,*,*,*,*,*,*,3,2651,45,*,*,38,*,*,*,*,*,*,*,*,*,*,5
75010,11/01/2021,42,6,*,*,*,*,*,*,3,2668,48,*,*,41,*,*,*,*,*,*,*,*,*,*,5
75010,12/01/2021,42,5,*,*,*,*,*,*,3,2657,48,*,*,41,*,*,*,*,*,*,*,*,*,*,5
75778,10/01/2021,*,*,*,*,*,*,*,*,3,1895,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75778,11/01/2021,*,*,*,*,*,*,*,*,3,1409,5,*,*,5,*,*,*,*,*,*,*,*,*,*,*
75778,12/01/2021,*,*,*,*,*,*,*,*,3,1409,5,*,*,5,*,*,*,*,*,*,*,*,*,*,*
76034,10/01/2021,*,*,*,*,*,*,*,*,2,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76034,11/01/2021,*,*,*,*,*,*,*,*,2,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76034,12/01/2021,*,*,*,*,*,*,*,*,2,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76802,10/01/2021,16,*,*,*,*,*,*,*,3,2425,15,*,*,19,*,*,*,*,*,*,*,*,*,*,*
76802,11/01/2021,17,*,*,*,*,*,*,*,4,2423,14,*,*,19,*,*,*,*,*,*,*,*,*,*,*
76802,12/01/2021,17,*,*,*,*,*,*,*,3,2304,15,*,*,20,*,*,*,*,*,*,*,*,*,*,*
77058,10/01/2021,40,*,7,*,*,*,*,*,3,1845,52,*,*,49,*,*,*,*,*,*,*,*,*,*,*
77058,11/01/2021,39,*,7,*,*,*,*,*,3,1797,52,*,*,49,*,*,*,*,*,*,*,*,*,*,*
77058,12/01/2021,38,*,7,*,*,*,*,*,3,1796,52,*,*,49,*,*,*,*,*,*,*,*,*,*,*
78594,10/01/2021,*,*,*,*,*,*,*,*,3,2779,5,*,*,5,*,*,*,*,*,*,*,*,*,*,*
78594,11/01/2021,*,*,*,*,*,*,*,*,3,2779,5,*,*,5,*,*,*,*,*,*,*,*,*,*,*
78594,12/01/2021,*,*,*,*,*,*,*,*,3,2779,5,*,*,5,*,*,*,*,*,*,*,*,*,*,*
78850,10/01/2021,*,*,*,*,*,*,*,*,3,2206,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78850,11/01/2021,*,*,*,*,*,*,*,*,3,2206,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78850,12/01/2021,*,*,*,*,*,*,*,*,3,2206,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
79106,10/01/2021,118,6,8,*,*,*,16,16,3,1958,133,*,*,123,*,*,*,*,*,*,*,*,*,*,28
79106,11/01/2021,111,8,9,*,*,*,22,22,3,1827,136,*,*,125,*,*,*,*,*,*,*,*,*,*,29
79106,12/01/2021,114,7,11,*,*,*,21,21,3,1876,139,*,*,127,*,*,*,*,*,*,*,*,*,*,30
75011,10/01/2021,*,*,*,*,*,*,*,*,3,3956,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75011,11/01/2021,*,*,*,*,*,*,*,*,3,3956,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75011,12/01/2021,*,*,*,*,*,*,*,*,3,3956,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76035,10/01/2021,*,*,*,*,*,*,*,*,6,4772,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76035,11/01/2021,*,*,*,*,*,*,*,*,6,4772,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76035,12/01/2021,*,*,*,*,*,*,*,*,6,4772,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76547,10/01/2021,*,*,*,*,*,*,*,*,3,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76547,11/01/2021,*,*,*,*,*,*,*,*,3,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76547,12/01/2021,*,*,*,*,*,*,*,*,3,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77059,10/01/2021,8,*,*,*,*,*,*,*,3,2555,8,*,*,8,*,*,*,*,*,*,*,*,*,*,*
77059,11/01/2021,8,*,*,*,*,*,*,*,3,2555,8,*,*,8,*,*,*,*,*,*,*,*,*,*,*
77059,12/01/2021,8,*,*,*,*,*,*,*,3,2555,8,*,*,8,*,*,*,*,*,*,*,*,*,*,*
77571,10/01/2021,70,6,8,5,*,*,*,*,3,2068,86,*,*,89,*,*,*,*,*,*,*,*,*,*,*
77571,11/01/2021,68,6,8,*,*,*,*,*,3,2095,85,*,*,88,*,*,*,*,*,*,*,*,*,*,*
77571,12/01/2021,66,5,7,*,*,*,*,*,3,2062,83,*,*,84,*,*,*,*,*,*,*,*,*,*,*
78595,10/01/2021,29,*,*,*,*,*,*,*,4,2113,27,*,*,26,5,*,*,*,*,*,*,*,*,*,*
78595,11/01/2021,27,*,*,*,*,*,*,*,4,2047,26,*,*,24,6,*,*,*,*,*,*,*,*,*,*
78595,12/01/2021,27,*,*,*,*,*,*,*,4,2070,27,*,*,23,7,*,*,*,*,*,*,*,*,*,*
79107,10/01/2021,125,11,11,6,*,*,20,20,4,1850,160,*,*,135,*,*,*,*,*,*,*,*,*,*,36
79107,11/01/2021,127,11,11,5,*,*,26,26,4,1808,167,*,*,144,*,*,*,*,*,*,*,*,*,*,33
79107,12/01/2021,130,10,11,*,*,*,30,30,4,1780,169,*,*,145,5,*,*,*,*,*,*,*,*,*,35
79363,10/01/2021,5,*,*,*,*,*,*,*,4,2984,*,*,*,5,*,*,*,*,*,*,*,*,*,*,*
79363,11/01/2021,5,*,*,*,*,*,*,*,4,2984,*,*,*,5,*,*,*,*,*,*,*,*,*,*,*
79363,12/01/2021,*,*,*,*,*,*,*,*,4,1103,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76036,10/01/2021,56,*,5,5,*,*,*,*,3,2537,67,*,*,69,*,*,*,*,*,*,*,*,*,*,*
76036,11/01/2021,60,*,*,5,*,*,*,*,3,2488,69,*,*,72,*,*,*,*,*,*,*,*,*,*,*
76036,12/01/2021,59,*,*,5,*,*,*,*,3,2503,68,*,*,71,*,*,*,*,*,*,*,*,*,*,*
76548,10/01/2021,77,7,10,6,*,*,7,7,3,1834,106,11,*,105,*,*,*,*,*,*,*,*,*,*,8
76548,11/01/2021,76,7,10,7,*,*,10,10,3,1816,108,11,*,107,*,*,*,*,*,*,*,*,*,*,9
76548,12/01/2021,75,7,9,7,*,*,12,12,3,1817,107,10,*,106,*,*,*,*,*,*,*,*,*,*,10
77060,10/01/2021,112,6,*,5,*,*,*,*,3,1835,126,6,*,121,6,*,*,*,*,*,*,*,*,*,*
77060,11/01/2021,112,6,*,5,*,*,*,*,3,1793,129,7,*,124,6,*,*,*,*,*,*,*,*,*,*
77060,12/01/2021,107,5,*,5,*,*,6,6,3,1740,127,7,*,122,6,*,*,*,*,*,*,*,*,*,*
