ZIPCode,Reporting_Date,ChildEthnicityHispLatino,ChildRaceAmIndAlaNat,ChildRaceAsian,ChildRaceBlackAfriAmer,ChildRaceHawaiiPacific,ChildRaceWhite,ChildRaceMult,ChildMale,ChildFemale,ChildDisability,ChildAgeInfantToddler,ChildAgePrek,ChildAgeSchAge
75008,07/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
75008,08/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
75008,09/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
76544,07/01/2023,19,*,*,44,*,27,7,42,44,*,39,28,19
76544,08/01/2023,21,*,*,48,*,29,12,50,50,5,41,36,23
76544,09/01/2023,20,*,*,45,*,28,11,43,51,5,41,34,19
77056,07/01/2023,5,*,*,16,*,*,*,18,15,*,10,11,13
77056,08/01/2023,5,*,*,18,*,*,*,20,15,*,11,12,13
77056,09/01/2023,7,*,*,19,*,*,*,21,16,*,11,12,15
77568,07/01/2023,48,*,*,89,*,59,13,99,93,7,47,70,82
77568,08/01/2023,54,*,*,96,*,65,13,105,100,9,51,75,86
77568,09/01/2023,54,*,*,103,*,67,13,113,103,10,54,77,91
78336,07/01/2023,27,*,*,*,*,35,*,33,22,*,17,32,7
78336,08/01/2023,18,*,*,*,*,29,*,27,20,*,18,26,*
78336,09/01/2023,19,*,*,*,*,26,*,21,20,*,21,16,5
78592,07/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,08/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,09/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
79104,07/01/2023,34,*,*,6,*,16,*,18,21,*,10,21,8
79104,08/01/2023,39,*,*,10,*,20,*,22,23,*,13,23,9
79104,09/01/2023,33,*,*,8,*,18,*,19,20,*,11,19,9
79360,07/01/2023,29,*,*,*,*,23,*,23,12,*,11,13,11
79360,08/01/2023,19,*,*,*,*,16,*,16,9,*,6,10,9
79360,09/01/2023,32,*,*,*,*,26,*,24,11,*,11,15,9
75009,07/01/2023,5,*,*,12,*,10,*,13,12,*,7,15,*
75009,08/01/2023,5,*,*,14,*,11,*,16,13,*,9,16,5
75009,09/01/2023,5,*,*,14,*,10,*,14,14,*,7,18,*
75265,07/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
75265,08/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
75265,09/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
76033,07/01/2023,18,*,*,9,*,49,*,28,43,*,18,28,25
76033,08/01/2023,22,*,*,7,*,57,*,31,46,*,19,32,26
76033,09/01/2023,22,*,*,9,*,57,6,32,51,*,21,35,27
76801,07/01/2023,79,*,*,19,*,165,*,98,107,*,50,76,80
76801,08/01/2023,77,*,*,20,*,163,*,100,104,*,50,79,76
76801,09/01/2023,72,*,*,17,*,148,*,89,97,5,48,72,67
77057,07/01/2023,28,*,*,39,*,38,*,38,50,5,23,38,29
77057,08/01/2023,30,*,*,40,*,38,*,37,51,5,20,40,29
77057,09/01/2023,30,*,*,46,*,38,*,40,55,5,22,42,31
77569,07/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,08/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,09/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
78593,07/01/2023,15,*,*,*,*,15,*,9,6,*,*,5,6
78593,08/01/2023,15,*,*,*,*,15,*,9,6,*,*,5,6
78593,09/01/2023,15,*,*,*,*,15,*,9,6,*,*,5,6
79105,07/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
79105,08/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
79105,09/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
75010,07/01/2023,21,*,*,66,*,17,8,47,56,*,35,33,35
75010,08/01/2023,22,*,*,72,*,18,9,48,63,*,38,37,36
75010,09/01/2023,22,*,*,65,*,21,9,47,59,*,38,36,32
75778,07/01/2023,*,*,*,*,*,11,*,5,7,*,6,*,*
75778,08/01/2023,*,*,*,*,*,12,*,5,8,*,7,*,*
75778,09/01/2023,*,*,*,*,*,10,*,*,8,*,7,*,*
76546,07/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
76546,08/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
76546,09/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
76802,07/01/2023,14,*,*,*,*,46,*,27,22,*,8,23,18
76802,08/01/2023,12,*,*,5,*,46,*,29,22,*,8,24,19
76802,09/01/2023,12,*,*,*,*,41,*,25,20,*,8,20,17
77058,07/01/2023,18,*,*,32,*,26,*,33,37,*,21,32,22
77058,08/01/2023,18,*,*,35,*,24,*,37,36,*,23,31,24
77058,09/01/2023,15,*,*,35,*,19,*,37,30,*,20,31,21
