ZIPCode,Reporting_Date,ChildEthnicityHispLatino,ChildRaceAmIndAlaNat,ChildRaceAsian,ChildRaceBlackAfriAmer,ChildRaceHawaiiPacific,ChildRaceWhite,ChildRaceMult,ChildMale,ChildFemale,ChildDisability,ChildAgeInfantToddler,ChildAgePrek,ChildAgeSchAge
76544,01/01/2021,*,*,*,6,*,*,*,*,8,*,14,7,*
76544,02/01/2021,*,*,*,6,*,*,*,5,8,*,14,8,*
76544,03/01/2021,*,*,*,6,*,*,*,7,8,*,14,9,*
77056,01/01/2021,8,*,*,8,*,8,*,14,8,*,*,12,7
77056,02/01/2021,8,*,*,9,*,8,*,14,9,*,5,12,7
77056,03/01/2021,8,*,*,9,*,8,*,14,9,*,5,11,7
77568,01/01/2021,32,*,*,79,*,43,*,72,72,5,35,50,60
77568,02/01/2021,31,*,*,77,*,41,*,72,70,5,33,53,57
77568,03/01/2021,32,*,*,87,*,43,*,76,74,5,35,54,62
78336,01/01/2021,22,*,*,*,*,29,*,17,22,*,8,24,10
78336,02/01/2021,22,*,*,*,*,30,*,18,23,*,10,26,9
78336,03/01/2021,27,*,*,*,*,33,*,21,25,*,13,28,12
78592,01/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,02/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,03/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
79104,01/01/2021,46,*,*,*,*,33,*,29,22,*,17,24,12
79104,02/01/2021,47,*,*,*,*,33,*,30,22,*,17,26,11
79104,03/01/2021,50,*,*,*,*,35,*,30,25,*,18,27,12
79360,01/01/2021,19,*,*,*,*,28,*,17,15,*,18,10,*
79360,02/01/2021,17,*,*,*,*,26,*,16,14,*,14,12,*
79360,03/01/2021,18,*,*,*,*,26,*,15,15,*,14,12,*
75009,01/01/2021,*,*,*,*,*,9,*,9,*,*,6,7,*
75009,02/01/2021,*,*,*,*,*,9,*,9,*,*,6,7,*
75009,03/01/2021,*,*,*,5,*,9,*,10,5,*,7,8,*
76033,01/01/2021,15,*,*,12,*,46,6,49,31,*,18,35,27
76033,02/01/2021,15,*,*,12,*,46,6,48,30,*,17,34,27
76033,03/01/2021,15,*,*,13,*,47,*,46,32,*,17,35,26
76801,01/01/2021,63,*,*,11,*,150,*,88,86,*,53,67,58
76801,02/01/2021,64,*,*,10,*,145,*,86,82,*,54,66,52
76801,03/01/2021,69,*,*,11,*,158,*,99,86,*,60,68,61
77057,01/01/2021,8,*,*,40,*,14,*,40,41,*,23,25,33
77057,02/01/2021,9,*,*,39,*,15,*,40,43,*,23,26,34
77057,03/01/2021,11,*,*,41,*,15,*,47,42,*,25,29,35
77569,01/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,02/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,03/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78593,01/01/2021,20,*,*,*,*,20,*,10,10,*,6,8,6
78593,02/01/2021,20,*,*,*,*,20,*,10,10,*,6,8,6
78593,03/01/2021,24,*,*,*,*,23,*,13,11,*,8,10,6
75010,01/01/2021,8,*,*,23,*,*,12,24,22,*,15,17,14
75010,02/01/2021,12,*,*,26,*,*,12,27,26,*,14,19,20
75010,03/01/2021,13,*,*,26,*,5,10,28,24,*,14,19,19
75778,01/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
75778,02/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
75778,03/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
76034,01/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
76034,02/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
76034,03/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
76802,01/01/2021,5,*,*,*,*,23,*,18,10,*,8,7,13
76802,02/01/2021,*,*,*,*,*,22,*,20,7,*,10,8,9
76802,03/01/2021,11,*,*,*,*,26,*,27,10,*,12,12,13
77058,01/01/2021,13,*,*,26,*,23,*,28,29,6,22,15,21
77058,02/01/2021,11,*,*,22,*,21,*,26,25,6,19,15,19
77058,03/01/2021,15,*,*,22,*,27,*,27,29,5,19,20,19
78594,01/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78594,02/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78594,03/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78850,01/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78850,02/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78850,03/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
79106,01/01/2021,104,*,*,56,*,121,5,102,100,*,65,81,63
79106,02/01/2021,113,*,*,60,*,126,8,112,108,*,72,89,64
79106,03/01/2021,122,*,*,62,*,123,8,114,110,*,74,88,67
75011,01/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
75011,02/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
75011,03/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
76035,01/01/2021,*,*,*,*,*,5,*,*,*,*,*,*,*
76035,02/01/2021,*,*,*,*,*,5,*,*,*,*,*,5,*
76035,03/01/2021,*,*,*,*,*,5,*,*,*,*,*,*,*
76547,03/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
77059,01/01/2021,7,*,*,*,*,9,*,6,6,*,*,5,*
77059,02/01/2021,5,*,*,*,*,9,*,*,6,*,*,5,*
77059,03/01/2021,5,*,*,*,*,9,*,*,6,*,*,5,*
77571,01/01/2021,72,*,*,10,*,93,*,70,72,*,41,51,53
77571,02/01/2021,68,*,*,10,*,91,*,70,67,*,38,53,49
77571,03/01/2021,69,*,*,10,*,93,*,71,65,*,38,50,51
78595,01/01/2021,53,*,*,*,*,53,*,24,29,*,9,18,26
78595,02/01/2021,57,*,*,*,*,57,*,26,31,*,9,17,31
78595,03/01/2021,53,*,*,*,*,53,*,23,30,*,7,17,29
79107,01/01/2021,148,*,*,76,*,96,12,118,114,*,71,89,78
79107,02/01/2021,151,*,*,75,*,100,11,120,120,*,73,91,82
79107,03/01/2021,155,*,*,77,*,96,9,126,119,*,80,92,79
79363,01/01/2021,6,*,*,*,*,8,*,6,5,*,*,*,5
79363,02/01/2021,6,*,*,*,*,7,*,6,*,*,*,*,5
79363,03/01/2021,6,*,*,*,*,8,*,7,*,*,*,*,5
76036,01/01/2021,15,*,*,64,*,33,*,62,65,*,36,62,29
76036,02/01/2021,14,*,*,64,*,32,*,62,65,*,36,64,27
76036,03/01/2021,13,*,*,63,*,33,*,64,62,*,33,64,29
76548,01/01/2021,36,*,*,67,*,48,13,87,61,*,42,72,43
76548,02/01/2021,36,*,*,73,*,48,13,89,65,*,41,75,46
76548,03/01/2021,37,*,*,72,*,52,13,92,66,*,43,75,48
77060,01/01/2021,44,*,*,132,*,38,*,100,112,*,46,85,82
77060,02/01/2021,43,*,*,134,*,32,*,107,110,*,49,84,85
77060,03/01/2021,46,*,*,130,*,33,*,105,104,*,47,80,83
77316,01/01/2021,5,*,*,6,*,31,*,29,17,*,8,24,15
77316,02/01/2021,5,*,*,7,*,31,*,29,18,*,8,24,16
77316,03/01/2021,6,*,*,7,*,29,*,27,19,*,7,24,16
77572,01/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
77572,02/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
77572,03/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78340,01/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78340,02/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78340,03/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78596,01/01/2021,388,*,*,*,*,391,*,214,180,*,89,132,173
78596,02/01/2021,375,*,*,*,*,381,*,204,177,*,89,124,168
78596,03/01/2021,374,*,*,*,*,380,*,203,178,*,98,123,160
78852,01/01/2021,458,*,*,*,*,462,*,229,238,*,90,150,227
78852,02/01/2021,449,*,*,*,*,453,*,223,232,*,85,147,223
78852,03/01/2021,489,*,*,*,*,494,*,240,256,*,102,155,239
79108,01/01/2021,17,*,*,11,*,43,*,29,36,*,18,23,25
79108,02/01/2021,17,*,*,12,*,48,*,31,40,*,18,28,26
79108,03/01/2021,19,*,*,12,*,48,*,33,39,*,17,28,27
79364,01/01/2021,25,*,*,8,*,24,*,18,20,*,23,15,7
79364,02/01/2021,25,*,*,8,*,24,*,18,20,*,23,15,7
79364,03/01/2021,27,*,*,7,*,26,*,18,21,*,24,15,7
75013,01/01/2021,5,*,*,8,*,16,*,17,14,*,9,12,10
75013,02/01/2021,5,*,*,12,*,16,*,19,15,*,9,15,10
75013,03/01/2021,5,*,*,15,*,17,*,20,18,*,11,14,13
76549,01/01/2021,90,*,5,305,*,63,29,235,215,7,115,190,152
76549,02/01/2021,94,*,*,300,*,62,29,231,215,7,112,187,153
76549,03/01/2021,111,*,5,310,*,68,28,249,227,7,115,204,162
77061,01/01/2021,11,*,*,21,*,6,*,17,21,*,11,16,14
77061,02/01/2021,11,*,*,19,*,6,*,17,19,*,10,15,14
77061,03/01/2021,16,*,*,23,*,10,*,19,26,*,14,16,18
77573,01/01/2021,28,*,*,20,*,62,*,75,56,*,36,48,51
77573,02/01/2021,30,*,*,26,*,60,*,76,59,*,38,49,53
77573,03/01/2021,32,*,*,28,*,62,*,79,63,*,39,57,50
78853,01/01/2021,129,*,*,*,*,134,*,69,65,*,24,46,64
78853,02/01/2021,131,*,*,*,*,136,*,71,65,*,25,44,67
78853,03/01/2021,127,*,*,*,*,132,*,70,62,*,25,41,66
79109,01/01/2021,92,*,*,47,*,139,10,116,110,*,75,109,52
79109,02/01/2021,100,*,*,49,*,137,11,122,113,*,77,112,56
79109,03/01/2021,104,*,*,50,*,147,8,132,118,*,83,118,55
75014,01/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
75014,02/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
75014,03/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
76038,01/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
76038,02/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
76038,03/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
76550,01/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
76550,02/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
76550,03/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
77062,01/01/2021,27,*,*,6,*,38,*,30,21,5,11,22,18
77062,02/01/2021,23,*,*,6,*,34,*,29,20,5,11,22,16
77062,03/01/2021,28,*,*,7,*,40,*,33,23,6,13,23,20
77318,01/01/2021,13,*,*,11,*,32,*,31,30,*,14,24,26
77318,02/01/2021,13,*,*,11,*,27,*,30,26,*,11,22,26
77318,03/01/2021,12,*,*,12,*,29,*,30,29,5,14,22,26
77830,01/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
77830,02/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
77830,03/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78598,01/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78598,02/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78598,03/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
79110,01/01/2021,112,*,*,26,*,142,7,115,94,*,57,88,65
79110,02/01/2021,114,*,*,25,*,138,7,119,94,*,58,91,65
79110,03/01/2021,118,*,*,23,*,141,7,123,95,*,62,95,61
75015,01/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
75015,02/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
75015,03/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
75783,01/01/2021,*,*,*,*,*,15,*,5,12,*,5,8,*
75783,02/01/2021,*,*,*,*,*,16,*,6,12,*,5,8,5
75783,03/01/2021,*,*,*,*,*,18,*,6,13,*,5,9,5
76039,01/01/2021,13,*,*,48,*,32,*,61,46,*,37,41,30
76039,02/01/2021,11,*,*,46,*,28,*,60,44,*,37,40,28
76039,03/01/2021,8,*,*,47,*,23,*,58,40,*,33,39,27
77063,01/01/2021,30,*,*,82,*,22,*,68,80,*,58,44,46
77063,02/01/2021,30,*,*,79,*,25,*,70,80,*,54,50,46
77063,03/01/2021,30,*,*,79,*,24,*,65,78,*,48,49,46
77319,01/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
77319,02/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
77319,03/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
77575,01/01/2021,*,*,*,16,*,*,*,13,14,*,8,13,6
77575,02/01/2021,*,*,*,17,*,*,*,14,14,*,9,14,6
77575,03/01/2021,*,*,*,17,*,*,*,16,14,*,9,15,7
77831,01/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
77831,02/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
77831,03/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78343,01/01/2021,*,*,*,*,*,6,*,5,*,*,7,*,*
78343,02/01/2021,*,*,*,*,*,6,*,5,*,*,6,*,*
78343,03/01/2021,*,*,*,*,*,6,*,5,*,*,6,*,*
78599,01/01/2021,270,*,*,*,*,274,*,142,133,*,64,91,120
78599,02/01/2021,263,*,*,*,*,267,*,142,126,*,59,92,117
78599,03/01/2021,276,*,*,*,*,280,*,141,140,6,68,94,119
79111,01/01/2021,14,*,*,*,*,23,*,13,13,*,8,9,9
79111,02/01/2021,14,*,*,*,*,24,*,13,14,*,7,10,10
79111,03/01/2021,13,*,*,*,*,24,*,13,14,*,7,10,10
79367,01/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
79367,02/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
