ZIPCode,ReportingDate,ReasonCC_Emp,ReasonCC_Ed,ReasonCC_EmpEd,ReasonCC_PS,ReasonCC_FedEmEmp,ReasonCC_FedEmEd,ReasonCC_FedEmEmpEd,ReasonCC_FedEmPS,AvgFamilySize,AvgMonthlyIncome,SingleParent,FamilyHomeless,FamilyMilitary,PrimLang_1,PrimLang_2,PrimLang_3,PrimLang_4,PrimLang_5,PrimLang_6,PrimLang_7,PrimLang_8,PrimLang_9,PrimLang_10,PrimLang_11,PrimLang_12
78593,03/01/2022,12,*,*,*,*,*,*,*,3,1862,14,*,*,14,*,*,*,*,*,*,*,*,*,*,*
79105,01/01/2022,*,*,*,*,*,*,*,*,4,1355,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
79105,02/01/2022,*,*,*,*,*,*,*,*,4,1355,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
79105,03/01/2022,*,*,*,*,*,*,*,*,4,1476,*,*,*,5,*,*,*,*,*,*,*,*,*,*,*
75010,01/01/2022,41,*,*,*,*,*,*,*,3,2723,48,*,*,43,*,*,*,*,*,*,*,*,*,*,*
75010,02/01/2022,41,*,*,*,*,*,*,*,3,2714,49,*,*,44,*,*,*,*,*,*,*,*,*,*,*
75010,03/01/2022,42,*,*,*,*,*,5,5,3,2719,51,*,*,46,*,*,*,*,*,*,*,*,*,*,*
75778,01/01/2022,*,*,*,*,*,*,*,*,3,1440,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75778,02/01/2022,*,*,*,*,*,*,*,*,3,1440,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75778,03/01/2022,*,*,*,*,*,*,*,*,3,1440,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76034,01/01/2022,*,*,*,*,*,*,*,*,2,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76034,02/01/2022,*,*,*,*,*,*,*,*,2,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76034,03/01/2022,*,*,*,*,*,*,*,*,2,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76802,01/01/2022,15,*,*,*,*,*,*,*,4,2279,13,*,*,19,*,*,*,*,*,*,*,*,*,*,*
76802,02/01/2022,12,*,*,*,*,*,*,*,4,1923,12,*,*,17,*,*,*,*,*,*,*,*,*,*,*
76802,03/01/2022,12,*,*,*,*,*,*,*,4,1839,13,*,*,20,*,*,*,*,*,*,*,*,*,*,*
77058,01/01/2022,36,*,7,*,*,*,6,6,3,1644,55,*,*,51,*,*,*,*,*,*,*,*,*,*,*
77058,02/01/2022,40,*,6,*,*,*,6,6,3,1688,58,*,*,54,*,*,*,*,*,*,*,*,*,*,*
77058,03/01/2022,40,5,6,*,*,*,8,8,3,1572,62,*,*,59,*,*,*,*,*,*,*,*,*,*,*
78594,01/01/2022,*,*,*,*,*,*,*,*,3,2779,5,*,*,5,*,*,*,*,*,*,*,*,*,*,*
78594,02/01/2022,*,*,*,*,*,*,*,*,3,2779,5,*,*,5,*,*,*,*,*,*,*,*,*,*,*
78594,03/01/2022,*,*,*,*,*,*,*,*,3,2779,5,*,*,5,*,*,*,*,*,*,*,*,*,*,*
78850,01/01/2022,*,*,*,*,*,*,*,*,3,2300,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78850,02/01/2022,*,*,*,*,*,*,*,*,3,2331,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78850,03/01/2022,*,*,*,*,*,*,*,*,3,2331,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
79106,01/01/2022,114,8,8,*,*,*,23,23,3,1899,138,*,*,123,*,*,*,*,*,*,*,*,*,*,35
79106,02/01/2022,116,8,6,*,*,*,25,25,3,1941,140,*,*,124,*,*,*,*,*,*,*,*,*,*,35
79106,03/01/2022,114,*,5,*,*,*,24,24,3,1991,136,5,*,116,*,*,*,*,*,*,*,*,*,*,36
75011,01/01/2022,*,*,*,*,*,*,*,*,3,3956,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75011,02/01/2022,*,*,*,*,*,*,*,*,3,3956,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75011,03/01/2022,*,*,*,*,*,*,*,*,3,3956,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76547,01/01/2022,*,*,*,*,*,*,*,*,3,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76547,02/01/2022,*,*,*,*,*,*,*,*,3,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76547,03/01/2022,*,*,*,*,*,*,*,*,3,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77059,01/01/2022,7,*,*,*,*,*,*,*,3,1930,8,*,*,7,*,*,*,*,*,*,*,*,*,*,*
77059,02/01/2022,7,*,*,*,*,*,*,*,3,1930,8,*,*,7,*,*,*,*,*,*,*,*,*,*,*
77059,03/01/2022,7,*,*,*,*,*,*,*,3,2067,8,*,*,7,*,*,*,*,*,*,*,*,*,*,*
77571,01/01/2022,67,5,7,*,*,*,5,5,3,1975,85,*,*,87,*,*,*,*,*,*,*,*,*,*,*
77571,02/01/2022,64,6,7,*,*,*,7,7,3,1924,86,*,*,88,*,*,*,*,*,*,*,*,*,*,*
77571,03/01/2022,61,6,6,*,*,*,13,13,3,1857,87,*,*,89,*,*,*,*,*,*,*,*,*,*,*
78595,01/01/2022,24,*,*,*,*,*,*,*,4,2044,26,*,*,22,7,*,*,*,*,*,*,*,*,*,*
78595,02/01/2022,23,*,*,*,*,*,*,*,4,1967,26,*,*,22,7,*,*,*,*,*,*,*,*,*,*
78595,03/01/2022,24,*,*,*,*,*,7,7,4,1761,30,*,*,25,8,*,*,*,*,*,*,*,*,*,*
79107,01/01/2022,128,9,8,*,*,*,32,32,4,1760,166,*,*,140,6,*,*,*,*,*,*,*,*,*,34
79107,02/01/2022,132,8,7,*,*,*,31,31,4,1781,169,*,*,138,6,*,*,*,*,*,*,*,*,*,37
79107,03/01/2022,135,9,6,*,*,*,34,34,4,1735,177,*,*,142,6,*,*,*,*,*,*,*,*,*,40
79363,01/01/2022,*,*,*,*,*,*,*,*,4,1487,*,*,*,5,*,*,*,*,*,*,*,*,*,*,*
79363,02/01/2022,*,*,*,*,*,*,*,*,3,1487,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*
79363,03/01/2022,5,*,*,*,*,*,*,*,3,1672,6,*,*,5,*,*,*,*,*,*,*,*,*,*,*
76036,01/01/2022,72,*,*,5,*,*,5,5,3,2539,81,*,*,84,*,*,*,*,*,*,*,*,*,*,*
76036,02/01/2022,71,*,*,6,*,*,5,5,3,2494,82,*,*,84,*,*,*,*,*,*,*,*,*,*,*
76036,03/01/2022,73,*,*,6,*,*,8,8,3,2453,87,*,*,89,*,*,*,*,*,*,*,*,*,*,*
76548,01/01/2022,90,5,7,8,*,*,14,14,3,1907,117,9,*,119,*,*,*,*,*,*,*,*,*,*,9
76548,02/01/2022,93,5,7,6,*,*,16,16,3,1960,119,10,*,124,*,*,*,*,*,*,*,*,*,*,8
76548,03/01/2022,102,*,5,7,*,*,16,16,3,2012,120,8,*,127,*,*,*,*,*,*,*,*,*,*,9
77060,01/01/2022,103,5,*,6,*,*,7,7,3,1886,123,*,*,119,6,*,*,*,*,*,*,*,*,*,*
77060,02/01/2022,104,5,*,5,*,*,10,10,3,1814,128,8,*,125,6,*,*,*,*,*,*,*,*,*,*
77060,03/01/2022,97,6,*,5,*,*,20,20,3,1666,131,8,*,128,6,*,*,*,*,*,*,*,*,*,*
77316,01/01/2022,26,*,*,*,*,*,*,*,3,2218,29,*,*,28,*,*,*,*,*,*,*,*,*,*,*
77316,02/01/2022,27,*,*,*,*,*,*,*,3,2262,31,*,*,30,*,*,*,*,*,*,*,*,*,*,*
77316,03/01/2022,28,*,*,*,*,*,*,*,3,2205,34,*,*,34,*,*,*,*,*,*,*,*,*,*,*
78596,01/01/2022,209,16,8,*,*,*,19,19,4,2053,237,*,*,241,12,*,*,*,*,*,*,*,*,*,*
78596,02/01/2022,200,16,8,*,*,*,21,21,4,2050,230,*,*,234,12,*,*,*,*,*,*,*,*,*,*
78596,03/01/2022,192,16,8,*,*,*,36,36,4,1965,234,*,*,241,12,*,*,*,*,*,*,*,*,*,*
78852,01/01/2022,264,6,*,*,*,*,*,*,4,2203,253,*,*,208,69,*,*,*,*,*,*,*,*,*,*
78852,02/01/2022,258,6,*,*,*,*,7,7,4,2177,251,*,*,205,68,*,*,*,*,*,*,*,*,*,*
78852,03/01/2022,251,6,*,*,*,*,9,9,4,2186,247,*,*,200,69,*,*,*,*,*,*,*,*,*,*
79108,01/01/2022,39,*,*,*,*,*,11,11,3,1885,49,*,*,49,*,*,*,*,*,*,*,*,*,*,10
79108,02/01/2022,42,*,*,*,*,*,10,10,3,1864,51,*,*,50,*,*,*,*,*,*,*,*,*,*,11
79108,03/01/2022,39,*,*,*,*,*,11,11,3,1776,51,*,*,51,*,*,*,*,*,*,*,*,*,*,8
79364,01/01/2022,12,*,*,*,*,*,*,*,3,1820,15,*,*,18,*,*,*,*,*,*,*,*,*,*,*
79364,02/01/2022,14,*,*,*,*,*,*,*,3,1702,16,*,*,20,*,*,*,*,*,*,*,*,*,*,*
79364,03/01/2022,17,*,*,*,*,*,*,*,3,1922,20,*,*,25,*,*,*,*,*,*,*,*,*,*,*
75013,01/01/2022,19,*,*,*,*,*,*,*,3,2834,21,*,*,18,*,*,*,*,*,*,*,*,*,*,5
75013,02/01/2022,17,*,*,*,*,*,*,*,3,2868,20,*,*,18,*,*,*,*,*,*,*,*,*,*,*
75013,03/01/2022,16,*,*,*,*,*,*,*,3,2853,20,*,*,18,*,*,*,*,*,*,*,*,*,*,*
76549,01/01/2022,231,36,13,13,*,*,28,28,3,1802,304,15,7,297,8,*,*,*,*,*,*,*,*,*,24
76549,02/01/2022,237,36,15,12,*,*,31,31,3,1793,312,16,7,311,9,*,*,*,*,*,*,*,*,*,20
76549,03/01/2022,262,33,16,10,*,*,31,31,3,1849,329,16,6,335,9,*,*,*,*,*,*,*,*,*,19
77061,01/01/2022,42,*,*,*,*,*,*,*,3,1823,47,*,*,45,*,*,*,*,*,*,*,*,*,*,*
77061,02/01/2022,41,*,*,*,*,*,*,*,3,1749,49,*,*,47,*,*,*,*,*,*,*,*,*,*,*
77061,03/01/2022,41,*,*,*,*,*,*,*,3,1649,52,*,*,50,*,*,*,*,*,*,*,*,*,*,*
77573,01/01/2022,91,9,10,9,*,*,*,*,3,1992,117,*,*,119,*,*,*,*,*,*,*,*,*,*,*
77573,02/01/2022,91,7,11,10,*,*,6,6,3,1949,117,*,*,121,*,*,*,*,*,*,*,*,*,*,*
77573,03/01/2022,93,6,11,9,*,*,10,10,3,1995,121,*,*,125,*,*,*,*,*,*,*,*,*,*,*
78341,01/01/2022,*,*,*,*,*,*,*,*,3,815,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78341,02/01/2022,*,*,*,*,*,*,*,*,3,815,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78341,03/01/2022,*,*,*,*,*,*,*,*,3,815,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78597,01/01/2022,*,*,*,*,*,*,*,*,3,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78597,02/01/2022,*,*,*,*,*,*,*,*,3,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78597,03/01/2022,*,*,*,*,*,*,*,*,3,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78853,01/01/2022,51,*,*,*,*,*,*,*,4,2050,48,*,*,37,16,*,*,*,*,*,*,*,*,*,*
78853,02/01/2022,50,*,*,*,*,*,*,*,4,2047,47,*,*,36,16,*,*,*,*,*,*,*,*,*,*
78853,03/01/2022,50,*,*,*,*,*,*,*,4,2044,47,*,*,36,16,*,*,*,*,*,*,*,*,*,*
79109,01/01/2022,144,*,11,*,*,*,31,31,3,2009,166,*,*,153,*,*,*,*,*,*,*,*,*,*,37
79109,02/01/2022,142,*,10,*,*,*,34,34,3,2006,163,*,*,151,*,*,*,*,*,*,*,*,*,*,39
79109,03/01/2022,141,*,9,*,*,*,38,38,3,2037,164,*,*,151,*,*,*,*,*,*,*,*,*,*,41
16133,01/01/2022,*,*,*,*,*,*,*,*,2,3125,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
16133,02/01/2022,*,*,*,*,*,*,*,*,2,3125,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
