ZIPCode,ReportingDate,ReasonCC_Emp,ReasonCC_Ed,ReasonCC_EmpEd,ReasonCC_PS,ReasonCC_FedEmEmp,ReasonCC_FedEmEd,ReasonCC_FedEmEmpEd,ReasonCC_FedEmPS,AvgFamilySize,AvgMonthlyIncome,SingleParent,FamilyHomeless,FamilyMilitary,PrimLang_1,PrimLang_2,PrimLang_3,PrimLang_4,PrimLang_5,PrimLang_6,PrimLang_7,PrimLang_8,PrimLang_9,PrimLang_10,PrimLang_11,PrimLang_12
75008,01/01/2024,*,*,*,*,*,*,*,*,4,3535,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75008,02/01/2024,*,*,*,*,*,*,*,*,4,4445,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75008,03/01/2024,*,*,*,*,*,*,*,*,4,4445,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76544,01/01/2024,40,*,11,*,*,*,*,*,4,3342,21,*,7,53,*,*,*,*,*,*,*,*,*,*,*
76544,02/01/2024,42,*,9,*,*,*,*,*,4,3328,23,*,8,55,*,*,*,*,*,*,*,*,*,*,*
76544,03/01/2024,40,*,9,*,*,*,*,*,4,3433,22,*,8,52,*,*,*,*,*,*,*,*,*,*,*
77056,01/01/2024,30,*,*,*,*,*,*,*,3,2366,35,5,*,35,*,*,*,*,*,*,*,*,*,*,*
77056,02/01/2024,29,*,*,*,*,*,*,*,3,2311,34,5,*,34,*,*,*,*,*,*,*,*,*,*,*
77056,03/01/2024,30,*,*,*,*,*,*,*,3,2264,35,*,*,35,*,*,*,*,*,*,*,*,*,*,*
77568,01/01/2024,110,*,*,14,*,*,*,*,3,2314,130,*,*,128,*,*,*,*,*,*,*,*,*,*,*
77568,02/01/2024,112,*,*,16,*,*,*,*,3,2242,137,6,*,136,*,*,*,*,*,*,*,*,*,*,*
77568,03/01/2024,110,*,*,16,*,*,*,*,3,2135,138,7,*,137,*,*,*,*,*,*,*,*,*,*,*
78336,01/01/2024,30,*,*,*,*,*,*,*,3,2698,30,*,*,32,*,*,*,*,*,*,*,*,*,*,*
78336,02/01/2024,36,*,*,*,*,*,*,*,3,2529,35,*,*,38,*,*,*,*,*,*,*,*,*,*,*
78336,03/01/2024,37,*,*,*,*,*,*,*,3,2456,35,*,*,39,*,*,*,*,*,*,*,*,*,*,*
78592,01/01/2024,*,*,*,*,*,*,*,*,4,2814,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,02/01/2024,*,*,*,*,*,*,*,*,4,2814,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,03/01/2024,*,*,*,*,*,*,*,*,3,2980,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
79104,01/01/2024,24,*,*,*,*,*,*,*,3,2235,27,*,*,25,*,*,*,*,*,*,*,*,*,*,*
79104,02/01/2024,21,*,*,*,*,*,*,*,3,2045,24,*,*,21,*,*,*,*,*,*,*,*,*,*,*
79104,03/01/2024,24,*,*,*,*,*,*,*,3,2026,28,*,*,24,*,*,*,*,*,*,*,*,*,*,*
79360,01/01/2024,23,*,*,*,*,*,*,*,4,2575,21,*,*,23,*,*,*,*,*,*,*,*,*,*,*
79360,02/01/2024,24,*,*,*,*,*,*,*,4,2576,22,*,*,24,*,*,*,*,*,*,*,*,*,*,*
79360,03/01/2024,24,*,*,*,*,*,*,*,4,2564,22,*,*,25,*,*,*,*,*,*,*,*,*,*,*
75009,01/01/2024,15,*,*,*,*,*,*,*,4,2882,14,*,*,16,*,*,*,*,*,*,*,*,*,*,*
75009,02/01/2024,16,*,*,*,*,*,*,*,4,2952,15,*,*,17,*,*,*,*,*,*,*,*,*,*,*
75009,03/01/2024,15,*,*,*,*,*,*,*,4,2677,16,*,*,18,*,*,*,*,*,*,*,*,*,*,*
76033,01/01/2024,49,*,*,10,*,*,*,*,3,2066,60,*,*,62,*,*,*,*,*,*,*,*,*,*,*
76033,02/01/2024,51,*,*,8,*,*,*,*,3,2058,63,*,*,64,*,*,*,*,*,*,*,*,*,*,*
76033,03/01/2024,55,*,*,9,*,*,*,*,3,2158,69,5,*,70,*,*,*,*,*,*,*,*,*,*,*
76801,01/01/2024,89,*,*,*,*,*,*,*,3,2250,93,5,*,101,*,*,*,*,*,*,*,*,*,*,*
76801,02/01/2024,94,*,*,*,*,*,*,*,3,2212,97,5,*,106,*,*,*,*,*,*,*,*,*,*,*
