ZIPCode,ReportingDate,ReasonCC_Emp,ReasonCC_Ed,ReasonCC_EmpEd,ReasonCC_PS,ReasonCC_FedEmEmp,ReasonCC_FedEmEd,ReasonCC_FedEmEmpEd,ReasonCC_FedEmPS,AvgFamilySize,AvgMonthlyIncome,SingleParent,FamilyHomeless,FamilyMilitary,PrimLang_1,PrimLang_2,PrimLang_3,PrimLang_4,PrimLang_5,PrimLang_6,PrimLang_7,PrimLang_8,PrimLang_9,PrimLang_10,PrimLang_11,PrimLang_12
76544,04/01/2021,6,*,*,10,*,*,*,*,3,1095,12,*,*,11,*,*,*,*,*,*,*,*,*,*,7
76544,05/01/2021,9,*,*,9,*,*,*,*,3,1838,11,*,*,16,*,*,*,*,*,*,*,*,*,*,6
76544,06/01/2021,11,*,*,7,*,*,*,*,3,1964,11,*,*,16,*,*,*,*,*,*,*,*,*,*,5
77056,04/01/2021,13,*,*,*,*,*,*,*,3,2212,14,*,*,14,*,*,*,*,*,*,*,*,*,*,*
77056,05/01/2021,13,*,*,*,*,*,*,*,3,2212,14,*,*,14,*,*,*,*,*,*,*,*,*,*,*
77056,06/01/2021,12,*,*,*,*,*,*,*,3,2105,14,*,*,14,*,*,*,*,*,*,*,*,*,*,*
77568,04/01/2021,55,*,5,8,*,*,*,*,3,2038,70,*,*,68,*,*,*,*,*,*,*,*,*,*,*
77568,05/01/2021,57,*,5,7,*,*,*,*,3,2069,71,*,*,70,*,*,*,*,*,*,*,*,*,*,*
77568,06/01/2021,62,*,5,5,*,*,*,*,3,2061,75,*,*,74,*,*,*,*,*,*,*,*,*,*,*
78336,04/01/2021,29,*,*,*,*,*,*,*,3,1961,28,*,*,31,*,*,*,*,*,*,*,*,*,*,*
78336,05/01/2021,31,*,*,*,*,*,*,*,3,2056,29,*,*,33,*,*,*,*,*,*,*,*,*,*,*
78336,06/01/2021,29,*,*,*,*,*,*,*,3,1869,30,*,*,33,*,*,*,*,*,*,*,*,*,*,*
78592,04/01/2021,*,*,*,*,*,*,*,*,4,1985,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,05/01/2021,*,*,*,*,*,*,*,*,4,1985,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,06/01/2021,*,*,*,*,*,*,*,*,4,1985,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
79104,04/01/2021,29,*,*,*,*,*,*,*,4,2181,31,*,*,24,*,*,*,*,*,*,*,*,*,*,11
79104,05/01/2021,35,*,*,*,*,*,*,*,4,2219,35,*,*,29,*,*,*,*,*,*,*,*,*,*,12
79104,06/01/2021,36,*,*,*,*,*,*,*,4,2088,38,*,*,30,*,*,*,*,*,*,*,*,*,*,14
79360,04/01/2021,19,*,*,*,*,*,*,*,4,2008,19,*,*,17,*,*,*,*,*,*,*,*,*,*,*
79360,05/01/2021,19,*,*,*,*,*,*,*,3,1912,19,*,*,17,*,*,*,*,*,*,*,*,*,*,*
79360,06/01/2021,18,*,*,*,*,*,*,*,4,1946,18,*,*,16,*,*,*,*,*,*,*,*,*,*,*
75009,04/01/2021,8,*,*,*,*,*,*,*,4,3236,8,*,*,6,*,*,*,*,*,*,*,*,*,*,*
75009,05/01/2021,9,*,*,*,*,*,*,*,4,3080,9,*,*,7,*,*,*,*,*,*,*,*,*,*,*
75009,06/01/2021,8,*,*,*,*,*,*,*,4,3271,8,*,*,6,*,*,*,*,*,*,*,*,*,*,*
76033,04/01/2021,30,*,*,*,*,*,*,*,3,1921,36,*,*,35,*,*,*,*,*,*,*,*,*,*,*
76033,05/01/2021,29,*,*,*,*,*,*,*,4,1778,36,*,*,35,*,*,*,*,*,*,*,*,*,*,*
76033,06/01/2021,30,*,*,*,*,*,*,*,4,1845,36,*,*,35,*,*,*,*,*,*,*,*,*,*,*
76801,04/01/2021,83,*,6,11,*,*,*,*,3,2054,94,*,*,105,*,*,*,*,*,*,*,*,*,*,*
76801,05/01/2021,85,*,6,11,*,*,*,*,3,2161,94,*,*,106,*,*,*,*,*,*,*,*,*,*,*
76801,06/01/2021,82,*,6,11,*,*,*,*,3,2160,92,*,*,104,*,*,*,*,*,*,*,*,*,*,*
77057,04/01/2021,39,7,*,*,*,*,*,*,3,1813,46,*,*,47,*,*,*,*,*,*,*,*,*,*,*
77057,05/01/2021,36,8,*,*,*,*,*,*,3,1709,45,*,*,46,*,*,*,*,*,*,*,*,*,*,*
77057,06/01/2021,36,8,*,*,*,*,*,*,3,1737,45,*,*,46,*,*,*,*,*,*,*,*,*,*,*
77569,04/01/2021,*,*,*,*,*,*,*,*,3,1763,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,05/01/2021,*,*,*,*,*,*,*,*,3,1763,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
