ZIPCode,Reporting_Date,ChildEthnicityHispLatino,ChildRaceAmIndAlaNat,ChildRaceAsian,ChildRaceBlackAfriAmer,ChildRaceHawaiiPacific,ChildRaceWhite,ChildRaceMult,ChildMale,ChildFemale,ChildDisability,ChildAgeInfantToddler,ChildAgePrek,ChildAgeSchAge
75008,01/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
75008,02/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
75008,03/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
76544,01/01/2023,27,*,*,41,*,31,6,50,49,*,44,36,19
76544,02/01/2023,24,*,*,41,*,29,7,48,48,*,42,35,19
76544,03/01/2023,28,*,*,44,*,33,*,50,50,*,45,35,20
77056,01/01/2023,11,*,*,19,*,7,*,25,17,*,11,15,17
77056,02/01/2023,8,*,*,19,*,5,*,24,15,*,11,12,17
77056,03/01/2023,9,*,*,19,*,5,*,24,15,*,10,13,17
77568,01/01/2023,40,*,*,90,*,62,7,98,95,7,44,71,87
77568,02/01/2023,36,*,*,87,*,57,7,98,86,7,44,65,82
77568,03/01/2023,38,*,*,81,*,57,7,94,84,6,42,70,74
78336,01/01/2023,25,*,*,*,*,33,*,26,24,*,21,21,10
78336,02/01/2023,28,*,*,*,*,38,*,29,25,*,23,23,10
78336,03/01/2023,27,*,*,*,*,37,*,30,24,*,21,24,10
78592,01/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,02/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,03/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
79104,01/01/2023,45,*,*,5,*,19,*,23,30,*,20,22,11
79104,02/01/2023,50,*,*,6,*,24,*,26,32,*,18,26,14
79104,03/01/2023,45,*,*,8,*,20,*,27,26,*,19,25,9
79360,01/01/2023,28,*,*,*,*,25,*,22,11,*,15,10,8
79360,02/01/2023,27,*,*,*,*,26,*,21,11,*,15,11,6
79360,03/01/2023,29,*,*,*,*,24,*,20,12,*,13,11,8
75009,01/01/2023,7,*,*,9,*,9,*,13,8,*,6,13,*
75009,02/01/2023,*,*,*,9,*,9,*,12,8,*,5,13,*
75009,03/01/2023,*,*,*,11,*,9,*,15,9,*,7,14,*
76033,01/01/2023,21,*,*,10,*,63,*,46,42,*,18,34,36
76033,02/01/2023,19,*,*,9,*,59,*,40,39,*,17,30,32
76033,03/01/2023,18,*,*,9,*,61,*,40,41,*,19,29,33
76801,01/01/2023,91,*,*,21,*,183,*,114,111,6,57,88,81
76801,02/01/2023,91,*,*,18,*,180,*,110,110,*,58,85,78
76801,03/01/2023,87,*,*,18,*,182,*,111,109,*,57,85,79
77057,01/01/2023,26,*,*,46,*,40,*,50,57,*,32,45,31
77057,02/01/2023,26,*,*,46,*,38,*,47,57,*,30,44,31
77057,03/01/2023,25,*,*,45,*,39,*,47,55,*,32,40,32
77569,01/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,02/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,03/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
78593,01/01/2023,21,*,*,*,*,21,*,13,8,*,6,7,8
78593,02/01/2023,19,*,*,*,*,19,*,11,8,*,5,6,8
78593,03/01/2023,19,*,*,*,*,19,*,11,8,*,5,6,8
79105,01/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
79105,02/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
79105,03/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
75010,01/01/2023,16,*,*,57,*,14,7,50,38,*,26,36,26
75010,02/01/2023,16,*,*,60,*,14,8,53,39,*,28,36,28
75010,03/01/2023,20,*,*,65,*,11,8,49,46,*,30,37,28
75778,01/01/2023,*,*,*,*,*,6,*,*,*,*,*,*,*
75778,02/01/2023,*,*,*,*,*,6,*,*,*,*,*,*,*
75778,03/01/2023,*,*,*,*,*,7,*,*,*,*,*,*,*
76034,01/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
76034,02/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
76034,03/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
76546,01/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
76546,02/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
76546,03/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
76802,01/01/2023,11,*,*,*,*,38,*,22,21,*,10,20,13
76802,02/01/2023,10,*,*,*,*,41,*,25,20,*,10,20,15
76802,03/01/2023,10,*,*,*,*,42,*,24,21,*,10,19,16
77058,01/01/2023,22,*,*,31,*,31,*,44,40,6,33,32,22
77058,02/01/2023,19,*,*,34,*,27,*,43,41,7,34,31,22
77058,03/01/2023,19,*,*,36,*,27,*,42,43,7,32,31,25
78594,01/01/2023,7,*,*,*,*,7,*,*,5,*,*,*,*
78594,02/01/2023,7,*,*,*,*,7,*,*,5,*,*,*,*
78594,03/01/2023,8,*,*,*,*,8,*,*,6,*,*,*,*
78850,01/01/2023,*,*,*,*,*,5,*,*,*,*,*,*,*
78850,02/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
78850,03/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
79106,01/01/2023,124,*,*,73,*,116,*,124,128,*,80,93,80
79106,02/01/2023,118,*,*,69,*,109,*,124,120,*,81,90,74
79106,03/01/2023,124,*,*,75,*,114,*,128,127,5,83,95,78
76547,01/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
76547,02/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
76547,03/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
77059,01/01/2023,7,*,*,*,*,9,*,6,8,*,*,6,6
77059,02/01/2023,6,*,*,*,*,8,*,6,7,*,*,6,5
77059,03/01/2023,6,*,*,*,*,8,*,6,7,*,*,6,5
77571,01/01/2023,70,*,*,20,*,112,*,85,77,5,32,61,70
77571,02/01/2023,76,*,*,20,*,115,*,84,79,7,32,62,70
77571,03/01/2023,77,*,*,20,*,113,*,81,81,7,32,67,64
78595,01/01/2023,83,*,*,*,*,83,*,40,43,*,15,20,48
78595,02/01/2023,72,*,*,*,*,72,*,36,36,*,16,17,39
78595,03/01/2023,69,*,*,*,*,69,*,34,35,*,16,17,36
79107,01/01/2023,214,*,8,103,*,126,5,178,155,*,125,119,89
79107,02/01/2023,225,*,6,102,*,124,5,183,158,*,126,124,91
79107,03/01/2023,243,*,6,108,*,125,5,200,161,*,138,135,88
79363,01/01/2023,6,*,*,*,*,10,*,7,*,*,5,5,*
79363,02/01/2023,5,*,*,*,*,10,*,7,5,*,7,*,*
79363,03/01/2023,5,*,*,*,*,10,*,8,5,*,6,6,*
76036,01/01/2023,21,*,*,97,*,37,*,109,102,*,74,73,65
76036,02/01/2023,19,*,*,96,*,34,*,108,101,*,74,72,64
76036,03/01/2023,22,*,*,99,*,38,*,110,107,*,76,72,72
76548,01/01/2023,69,*,*,123,*,67,25,135,122,*,68,111,80
76548,02/01/2023,74,*,*,121,*,67,28,140,117,*,59,119,81
76548,03/01/2023,76,5,*,119,*,69,32,138,121,*,62,121,78
77060,01/01/2023,61,*,*,139,*,57,*,121,120,12,64,96,92
77060,02/01/2023,61,*,*,135,*,58,*,118,121,12,64,92,94
77060,03/01/2023,66,*,*,147,*,59,*,127,127,16,67,99,98
77316,01/01/2023,11,*,*,10,*,38,*,25,38,*,17,17,30
77316,02/01/2023,11,*,*,9,*,38,*,24,38,*,17,18,29
77316,03/01/2023,12,*,*,7,*,37,*,24,30,*,18,15,23
78596,01/01/2023,531,*,*,*,*,533,*,282,256,5,155,186,197
78596,02/01/2023,535,*,*,*,*,534,*,281,259,5,155,185,200
78596,03/01/2023,515,*,*,5,*,512,*,271,249,6,151,171,198
78852,01/01/2023,565,*,*,*,*,571,*,300,272,*,132,159,281
78852,02/01/2023,546,*,*,*,*,552,*,292,261,*,124,150,279
78852,03/01/2023,526,*,*,*,*,532,*,281,252,*,115,146,272
79108,01/01/2023,40,*,*,10,*,71,*,53,42,*,42,27,26
79108,02/01/2023,39,*,*,10,*,71,*,53,40,*,38,29,26
79108,03/01/2023,42,*,*,10,*,70,*,57,40,*,44,29,24
79364,01/01/2023,28,*,*,*,*,40,*,28,21,*,20,19,11
79364,02/01/2023,29,*,*,*,*,41,*,30,22,*,19,23,11
79364,03/01/2023,31,*,*,*,*,44,*,31,24,*,20,24,12
75013,01/01/2023,7,*,*,19,*,12,*,23,23,*,12,19,15
75013,02/01/2023,7,*,*,20,*,12,*,23,19,*,11,17,14
75013,03/01/2023,10,*,*,21,*,14,*,24,22,*,13,18,15
76549,01/01/2023,149,10,*,431,10,104,68,343,380,10,215,273,238
76549,02/01/2023,147,10,*,434,10,103,73,345,381,13,221,273,233
76549,03/01/2023,158,10,*,454,9,108,72,364,387,14,233,281,239
77061,01/01/2023,25,*,*,41,*,18,*,44,37,*,25,30,29
77061,02/01/2023,25,*,*,40,*,18,*,45,37,*,23,28,32
77061,03/01/2023,25,*,*,49,*,18,*,51,41,5,24,31,38
77573,01/01/2023,61,*,*,56,*,100,8,107,113,5,64,87,80
77573,02/01/2023,61,*,*,58,*,98,9,109,112,5,63,93,79
77573,03/01/2023,61,*,*,57,*,98,9,114,114,6,66,99,78
78341,01/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
78341,02/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
78341,03/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
78597,01/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
78597,02/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
78597,03/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
78853,01/01/2023,151,*,*,*,*,154,*,75,79,*,43,36,75
78853,02/01/2023,146,*,*,*,*,149,*,74,75,*,41,34,74
78853,03/01/2023,146,*,*,*,*,149,*,74,76,*,41,35,74
79109,01/01/2023,147,*,*,63,*,176,6,173,129,*,104,134,64
79109,02/01/2023,140,*,*,62,*,177,*,176,121,*,107,132,58
79109,03/01/2023,141,*,*,61,*,173,*,172,122,*,105,132,57
16133,01/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
16133,02/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
16133,03/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
75014,01/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
75014,02/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
75014,03/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
76038,01/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
76038,02/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
76038,03/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
76550,01/01/2023,*,*,*,*,*,5,*,7,*,*,*,5,*
76550,02/01/2023,*,*,*,*,*,5,*,7,*,*,*,5,*
76550,03/01/2023,*,*,*,*,*,5,*,7,*,*,*,*,*
77062,01/01/2023,35,*,*,11,*,52,*,36,29,*,20,19,30
77062,02/01/2023,35,*,*,10,*,52,*,34,30,*,19,19,30
77062,03/01/2023,35,*,*,12,*,49,*,31,32,*,18,21,29
77318,01/01/2023,16,*,*,14,*,40,*,33,32,*,19,30,18
77318,02/01/2023,16,*,*,16,*,41,*,35,34,*,21,30,20
77318,03/01/2023,15,*,*,16,*,39,*,35,32,*,20,29,20
77830,01/01/2023,*,*,*,*,*,*,*,5,*,*,*,*,*
77830,02/01/2023,*,*,*,*,*,*,*,5,*,*,*,*,*
77830,03/01/2023,*,*,*,*,*,*,*,5,*,*,*,*,*
78342,01/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
78342,02/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
78342,03/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
79110,01/01/2023,131,*,*,32,*,156,5,140,115,*,82,106,68
79110,02/01/2023,115,*,*,28,*,142,*,130,102,*,77,93,62
