ZIPCode,Reporting_Date,ChildEthnicityHispLatino,ChildRaceAmIndAlaNat,ChildRaceAsian,ChildRaceBlackAfriAmer,ChildRaceHawaiiPacific,ChildRaceWhite,ChildRaceMult,ChildMale,ChildFemale,ChildDisability,ChildAgeInfantToddler,ChildAgePrek,ChildAgeSchAge
76544,07/01/2022,17,*,*,33,*,13,*,25,32,*,17,28,12
76544,08/01/2022,16,*,*,47,*,17,*,34,45,*,26,34,19
76544,09/01/2022,22,*,*,45,*,25,*,42,43,*,31,34,20
77056,07/01/2022,13,*,*,21,*,9,*,24,21,*,11,14,20
77056,08/01/2022,13,*,*,23,*,10,*,26,20,*,10,17,20
77056,09/01/2022,13,*,*,18,*,11,*,24,18,*,9,16,18
77568,07/01/2022,45,*,*,94,*,69,*,102,102,7,52,75,78
77568,08/01/2022,45,*,*,95,*,68,*,101,103,8,53,75,77
77568,09/01/2022,46,*,*,100,*,67,7,104,108,8,57,73,83
78336,07/01/2022,16,*,*,*,*,24,*,19,21,*,13,21,6
78336,08/01/2022,19,*,*,*,*,26,*,19,24,*,15,24,*
78336,09/01/2022,17,*,*,*,*,24,*,17,19,*,13,19,*
78592,07/01/2022,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,08/01/2022,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,09/01/2022,*,*,*,*,*,*,*,*,*,*,*,*,*
79104,07/01/2022,66,*,*,*,*,39,*,36,46,*,25,34,23
79104,08/01/2022,67,*,*,*,*,37,*,37,44,*,25,34,22
79104,09/01/2022,61,*,*,6,*,34,*,30,44,*,24,32,18
79360,07/01/2022,27,*,*,*,*,32,*,21,19,*,10,21,9
79360,08/01/2022,31,*,*,*,*,36,*,24,20,*,13,22,9
79360,09/01/2022,26,*,*,*,*,29,*,20,16,*,14,14,8
75009,07/01/2022,7,*,*,6,*,14,*,13,11,*,8,14,*
75009,08/01/2022,7,*,*,8,*,14,*,13,12,*,8,14,*
75009,09/01/2022,6,*,*,8,*,11,*,12,10,*,7,14,*
76033,07/01/2022,27,*,*,13,*,67,*,54,46,*,24,47,29
76033,08/01/2022,26,*,*,13,*,69,*,53,48,*,23,47,31
76033,09/01/2022,25,*,*,12,*,70,5,52,50,*,22,43,37
76801,07/01/2022,95,*,*,20,*,203,*,119,124,5,65,97,82
76801,08/01/2022,103,*,*,22,*,207,*,123,127,*,66,99,86
76801,09/01/2022,92,*,*,21,*,182,*,106,114,*,60,89,72
77057,07/01/2022,24,*,*,69,*,32,*,69,61,*,41,59,30
77057,08/01/2022,25,*,*,66,*,33,*,67,62,*,39,60,30
77057,09/01/2022,24,*,*,68,*,31,*,64,65,*,41,58,31
77569,07/01/2022,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,08/01/2022,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,09/01/2022,*,*,*,*,*,*,*,*,*,*,*,*,*
78593,07/01/2022,26,*,*,*,*,26,*,17,9,*,10,9,7
78593,08/01/2022,26,*,*,*,*,26,*,17,9,*,10,8,8
78593,09/01/2022,25,*,*,*,*,25,*,16,9,*,9,8,8
79105,07/01/2022,*,*,*,*,*,6,*,5,*,*,*,*,*
79105,08/01/2022,*,*,*,*,*,6,*,5,*,*,*,*,*
79105,09/01/2022,*,*,*,*,*,*,*,*,*,*,*,*,*
75010,07/01/2022,17,*,*,64,*,13,8,54,43,*,28,33,36
75010,08/01/2022,16,*,*,68,*,12,8,56,43,*,30,34,35
75010,09/01/2022,15,*,*,56,*,12,8,50,37,*,26,32,29
75778,07/01/2022,*,*,*,*,*,*,*,*,*,*,*,*,*
75778,08/01/2022,*,*,*,*,*,*,*,*,*,*,*,*,*
75778,09/01/2022,*,*,*,*,*,5,*,*,*,*,*,*,*
76034,07/01/2022,*,*,*,*,*,*,*,5,*,*,*,*,*
76034,08/01/2022,*,*,*,*,*,*,*,5,*,*,5,*,*
76034,09/01/2022,*,*,*,*,*,*,*,5,*,*,5,*,*
76802,07/01/2022,10,*,*,*,*,37,*,29,16,*,15,12,18
76802,08/01/2022,10,*,*,*,*,42,*,32,19,*,16,15,20
76802,09/01/2022,9,*,*,*,*,40,*,29,18,*,15,15,17
77058,07/01/2022,22,*,*,28,*,40,*,40,46,7,30,33,24
77058,08/01/2022,22,*,*,28,*,38,*,41,43,6,29,34,22
77058,09/01/2022,21,*,*,26,*,34,*,39,43,6,29,35,19
78594,07/01/2022,8,*,*,*,*,8,*,*,6,*,*,*,*
78594,08/01/2022,8,*,*,*,*,8,*,*,6,*,*,*,*
