ZIPCode,ReportingDate,ReasonCC_Emp,ReasonCC_Ed,ReasonCC_EmpEd,ReasonCC_PS,ReasonCC_FedEmEmp,ReasonCC_FedEmEd,ReasonCC_FedEmEmpEd,ReasonCC_FedEmPS,AvgFamilySize,AvgMonthlyIncome,SingleParent,FamilyHomeless,FamilyMilitary,PrimLang_1,PrimLang_2,PrimLang_3,PrimLang_4,PrimLang_5,PrimLang_6,PrimLang_7,PrimLang_8,PrimLang_9,PrimLang_10,PrimLang_11,PrimLang_12
76544,07/01/2022,18,*,5,*,*,*,*,*,4,2361,14,*,*,26,*,*,*,*,*,*,*,*,*,*,*
76544,08/01/2022,25,*,8,*,*,*,*,*,4,2914,15,*,*,37,*,*,*,*,*,*,*,*,*,*,*
76544,09/01/2022,28,*,9,*,*,*,*,*,4,2929,16,*,*,40,*,*,*,*,*,*,*,*,*,*,*
77056,07/01/2022,20,*,*,*,*,*,*,*,3,2052,26,*,*,25,*,*,*,*,*,*,*,*,*,*,*
77056,08/01/2022,22,*,*,*,*,*,*,*,3,2046,29,*,*,28,*,*,*,*,*,*,*,*,*,*,*
77056,09/01/2022,21,*,*,*,*,*,*,*,3,1941,28,*,*,27,*,*,*,*,*,*,*,*,*,*,*
77568,07/01/2022,79,*,5,6,*,*,10,10,3,2069,102,*,*,101,*,*,*,*,*,*,*,*,*,*,*
77568,08/01/2022,77,*,5,7,*,*,10,10,3,2097,101,*,*,101,*,*,*,*,*,*,*,*,*,*,*
77568,09/01/2022,78,*,5,7,*,*,10,10,3,2106,102,*,*,103,*,*,*,*,*,*,*,*,*,*,*
78336,07/01/2022,24,*,*,*,*,*,*,*,3,2054,29,*,*,31,*,*,*,*,*,*,*,*,*,*,*
78336,08/01/2022,25,*,*,*,*,*,*,*,3,1982,30,*,*,32,*,*,*,*,*,*,*,*,*,*,*
78336,09/01/2022,20,*,*,*,*,*,*,*,3,1829,25,*,*,27,*,*,*,*,*,*,*,*,*,*,*
78592,07/01/2022,*,*,*,*,*,*,*,*,4,2284,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,08/01/2022,*,*,*,*,*,*,*,*,4,2284,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,09/01/2022,*,*,*,*,*,*,*,*,4,2284,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
79104,07/01/2022,40,*,*,*,*,*,5,5,3,1513,46,*,*,33,*,*,*,*,*,*,*,*,*,*,17
79104,08/01/2022,38,*,*,*,*,*,5,5,3,1513,46,*,*,36,*,*,*,*,*,*,*,*,*,*,14
79104,09/01/2022,34,*,*,*,*,*,*,*,4,1504,42,*,*,32,*,*,*,*,*,*,*,*,*,*,13
79360,07/01/2022,21,*,*,*,*,*,*,*,4,2280,19,*,*,21,*,*,*,*,*,*,*,*,*,*,*
79360,08/01/2022,22,*,*,*,*,*,*,*,4,2415,19,*,*,22,*,*,*,*,*,*,*,*,*,*,*
79360,09/01/2022,21,*,*,*,*,*,*,*,4,2412,18,*,*,21,*,*,*,*,*,*,*,*,*,*,*
75009,07/01/2022,9,*,*,*,*,*,*,*,4,2982,11,*,*,10,*,*,*,*,*,*,*,*,*,*,*
75009,08/01/2022,10,*,*,*,*,*,*,*,4,3471,11,*,*,10,*,*,*,*,*,*,*,*,*,*,*
75009,09/01/2022,9,*,*,*,*,*,*,*,4,3372,10,*,*,9,*,*,*,*,*,*,*,*,*,*,*
76033,07/01/2022,35,*,*,6,*,*,7,7,3,2048,51,*,*,53,*,*,*,*,*,*,*,*,*,*,*
76033,08/01/2022,37,*,*,5,*,*,6,6,3,1997,51,*,*,53,*,*,*,*,*,*,*,*,*,*,*
76033,09/01/2022,37,*,*,*,*,*,6,6,3,2066,50,*,*,51,*,*,*,*,*,*,*,*,*,*,*
76801,07/01/2022,108,*,*,9,*,*,11,11,3,2131,117,6,*,135,*,*,*,*,*,*,*,*,*,*,*
76801,08/01/2022,111,*,*,10,*,*,11,11,3,2075,121,6,*,139,*,*,*,*,*,*,*,*,*,*,*
76801,09/01/2022,98,*,*,9,*,*,9,9,3,1962,110,7,*,124,*,*,*,*,*,*,*,*,*,*,*
77057,07/01/2022,54,5,6,*,*,*,12,12,3,1882,70,*,*,75,*,*,*,*,*,*,*,*,*,*,*
77057,08/01/2022,54,6,6,*,*,*,11,11,3,1900,72,*,*,76,*,*,*,*,*,*,*,*,*,*,*
77057,09/01/2022,56,6,6,*,*,*,11,11,3,1861,75,*,*,80,*,*,*,*,*,*,*,*,*,*,*
77569,07/01/2022,*,*,*,*,*,*,*,*,3,1414,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,08/01/2022,*,*,*,*,*,*,*,*,3,1414,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,09/01/2022,*,*,*,*,*,*,*,*,3,1414,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78593,07/01/2022,12,*,*,*,*,*,*,*,3,1911,14,*,*,14,*,*,*,*,*,*,*,*,*,*,*
78593,08/01/2022,12,*,*,*,*,*,*,*,3,1927,14,*,*,14,*,*,*,*,*,*,*,*,*,*,*
78593,09/01/2022,11,*,*,*,*,*,*,*,3,1804,13,*,*,13,*,*,*,*,*,*,*,*,*,*,*
79105,07/01/2022,*,*,*,*,*,*,*,*,4,1561,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
79105,08/01/2022,*,*,*,*,*,*,*,*,4,1561,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
79105,09/01/2022,*,*,*,*,*,*,*,*,3,2342,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75010,07/01/2022,45,*,*,*,*,*,*,*,3,2663,54,*,*,49,*,*,*,*,*,*,*,*,*,*,*
75010,08/01/2022,46,*,*,*,*,*,5,5,3,2629,57,*,*,52,*,*,*,*,*,*,*,*,*,*,*
75010,09/01/2022,41,*,*,*,*,*,5,5,3,2585,52,*,*,47,*,*,*,*,*,*,*,*,*,*,*
75778,07/01/2022,*,*,*,*,*,*,*,*,2,811,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75778,08/01/2022,*,*,*,*,*,*,*,*,3,609,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75778,09/01/2022,*,*,*,*,*,*,*,*,4,1535,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76034,07/01/2022,*,*,*,*,*,*,*,*,2,1393,5,*,*,5,*,*,*,*,*,*,*,*,*,*,*
76034,08/01/2022,*,*,*,*,*,*,*,*,2,1161,6,*,*,6,*,*,*,*,*,*,*,*,*,*,*
76034,09/01/2022,*,*,*,*,*,*,*,*,2,1161,6,*,*,6,*,*,*,*,*,*,*,*,*,*,*
76802,07/01/2022,19,*,*,*,*,*,*,*,3,2227,17,*,*,26,*,*,*,*,*,*,*,*,*,*,*
76802,08/01/2022,20,*,*,*,*,*,*,*,3,2124,20,*,*,29,*,*,*,*,*,*,*,*,*,*,*
76802,09/01/2022,18,*,*,*,*,*,*,*,3,2007,19,*,*,26,*,*,*,*,*,*,*,*,*,*,*
77058,07/01/2022,40,*,*,*,*,*,7,7,3,1929,54,*,*,54,*,*,*,*,*,*,*,*,*,*,*
77058,08/01/2022,39,*,*,*,*,*,7,7,3,1972,52,*,*,52,*,*,*,*,*,*,*,*,*,*,*
77058,09/01/2022,40,*,*,*,*,*,7,7,3,2084,53,*,*,53,*,*,*,*,*,*,*,*,*,*,*
78594,07/01/2022,*,*,*,*,*,*,*,*,3,2683,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78594,08/01/2022,*,*,*,*,*,*,*,*,3,2916,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78594,09/01/2022,*,*,*,*,*,*,*,*,3,2916,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78850,07/01/2022,*,*,*,*,*,*,*,*,2,1554,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78850,08/01/2022,*,*,*,*,*,*,*,*,2,1554,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78850,09/01/2022,*,*,*,*,*,*,*,*,2,1554,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
79106,07/01/2022,127,*,6,*,*,*,20,20,3,1981,148,5,*,112,*,*,*,*,*,*,*,*,*,*,51
79106,08/01/2022,131,*,5,5,*,*,18,18,3,2003,155,7,*,120,*,*,*,*,*,*,*,*,*,*,50
79106,09/01/2022,129,*,*,6,*,*,12,12,3,2064,147,8,*,113,*,*,*,*,*,*,*,*,*,*,49
75011,07/01/2022,*,*,*,*,*,*,*,*,3,4305,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75011,08/01/2022,*,*,*,*,*,*,*,*,3,4305,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76547,07/01/2022,*,*,*,*,*,*,*,*,3,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76547,08/01/2022,*,*,*,*,*,*,*,*,3,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76547,09/01/2022,*,*,*,*,*,*,*,*,3,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77059,07/01/2022,7,*,*,*,*,*,*,*,4,2765,7,*,*,7,*,*,*,*,*,*,*,*,*,*,*
77059,08/01/2022,8,*,*,*,*,*,*,*,3,2579,8,*,*,8,*,*,*,*,*,*,*,*,*,*,*
77059,09/01/2022,8,*,*,*,*,*,*,*,3,2579,8,*,*,8,*,*,*,*,*,*,*,*,*,*,*
77571,07/01/2022,58,6,6,*,*,*,11,11,3,1906,84,*,*,85,*,*,*,*,*,*,*,*,*,*,*
77571,08/01/2022,64,6,5,*,*,*,11,11,3,1948,89,*,*,90,*,*,*,*,*,*,*,*,*,*,*
77571,09/01/2022,65,6,*,*,*,*,11,11,3,2007,89,*,*,90,*,*,*,*,*,*,*,*,*,*,*
78595,07/01/2022,26,*,*,*,*,*,7,7,4,1819,32,*,*,27,8,*,*,*,*,*,*,*,*,*,*
78595,08/01/2022,28,*,*,*,*,*,7,7,4,1820,34,*,*,30,8,*,*,*,*,*,*,*,*,*,*
78595,09/01/2022,27,*,*,*,*,*,7,7,4,1801,34,*,*,30,7,*,*,*,*,*,*,*,*,*,*
79107,07/01/2022,153,10,6,*,*,*,39,39,3,1678,200,*,*,152,7,*,*,*,*,*,*,*,*,*,51
79107,08/01/2022,159,9,6,*,*,*,37,37,4,1785,202,*,*,155,9,*,*,*,*,*,*,*,*,*,49
79107,09/01/2022,165,8,*,*,*,*,23,23,3,1930,193,*,*,147,11,*,*,*,*,*,*,*,*,*,44
79363,07/01/2022,9,*,*,*,*,*,*,*,3,2122,9,*,*,9,*,*,*,*,*,*,*,*,*,*,*
79363,08/01/2022,8,*,*,*,*,*,*,*,3,2174,8,*,*,8,*,*,*,*,*,*,*,*,*,*,*
79363,09/01/2022,7,*,*,*,*,*,*,*,3,2172,7,*,*,7,*,*,*,*,*,*,*,*,*,*,*
76036,07/01/2022,94,*,*,6,*,*,9,9,3,2334,105,*,*,111,*,*,*,*,*,*,*,*,*,*,*
76036,08/01/2022,103,*,*,5,*,*,9,9,3,2486,115,*,*,121,*,*,*,*,*,*,*,*,*,*,*
76036,09/01/2022,107,*,*,*,*,*,7,7,3,2664,117,*,*,122,*,*,*,*,*,*,*,*,*,*,*
76548,07/01/2022,119,6,*,*,*,*,14,14,3,2151,132,8,*,142,*,*,*,*,*,*,*,*,*,*,7
76548,08/01/2022,133,7,5,*,*,*,13,13,3,2170,143,8,*,154,*,*,*,*,*,*,*,*,*,*,9
76548,09/01/2022,127,9,5,*,*,*,9,9,3,2186,136,7,*,150,*,*,*,*,*,*,*,*,*,*,6
77060,07/01/2022,104,*,*,5,*,*,21,21,3,1719,134,5,*,132,5,*,*,*,*,*,*,*,*,*,*
77060,08/01/2022,107,*,*,5,*,*,20,20,3,1803,135,5,*,135,*,*,*,*,*,*,*,*,*,*,*
77060,09/01/2022,107,5,*,6,*,*,20,20,3,1749,138,5,*,137,5,*,*,*,*,*,*,*,*,*,*
77316,07/01/2022,25,*,*,*,*,*,*,*,3,2293,30,*,*,30,*,*,*,*,*,*,*,*,*,*,*
77316,08/01/2022,25,*,*,*,*,*,*,*,4,2474,29,*,*,29,*,*,*,*,*,*,*,*,*,*,*
77316,09/01/2022,25,*,*,*,*,*,*,*,4,2405,28,*,*,28,*,*,*,*,*,*,*,*,*,*,*
78596,07/01/2022,201,14,7,*,*,*,33,33,4,1992,236,*,*,246,10,*,*,*,*,*,*,*,*,*,*
78596,08/01/2022,211,12,8,*,*,*,33,33,3,2031,244,*,*,255,10,*,*,*,*,*,*,*,*,*,*
78596,09/01/2022,213,10,7,*,*,*,33,33,4,2116,240,*,*,254,10,*,*,*,*,*,*,*,*,*,*
78852,07/01/2022,244,*,*,*,*,*,8,8,4,2307,238,*,*,191,66,*,*,*,*,*,*,*,*,*,*
78852,08/01/2022,252,6,*,*,*,*,9,9,4,2327,249,*,*,206,64,*,*,*,*,*,*,*,*,*,*
78852,09/01/2022,266,10,*,*,*,*,9,9,4,2308,265,*,*,219,69,*,*,*,*,*,*,*,*,*,*
79108,07/01/2022,45,*,*,*,*,*,9,9,3,2245,48,*,*,48,*,*,*,*,*,*,*,*,*,*,11
79108,08/01/2022,46,*,*,*,*,*,7,7,3,2261,48,*,*,48,*,*,*,*,*,*,*,*,*,*,10
79108,09/01/2022,44,*,*,*,*,*,7,7,3,2224,48,*,*,48,*,*,*,*,*,*,*,*,*,*,9
79364,07/01/2022,30,*,*,*,*,*,*,*,3,2406,27,*,*,36,*,*,*,*,*,*,*,*,*,*,*
79364,08/01/2022,31,*,*,*,*,*,*,*,3,2448,29,*,*,38,*,*,*,*,*,*,*,*,*,*,*
79364,09/01/2022,25,*,*,*,*,*,*,*,3,2573,24,*,*,32,*,*,*,*,*,*,*,*,*,*,*
75013,07/01/2022,20,*,*,*,*,*,*,*,3,2602,26,*,*,24,*,*,*,*,*,*,*,*,*,*,*
75013,08/01/2022,19,*,*,*,*,*,*,*,3,2609,25,*,*,23,*,*,*,*,*,*,*,*,*,*,*
75013,09/01/2022,19,*,*,*,*,*,*,*,3,2609,25,*,*,23,*,*,*,*,*,*,*,*,*,*,*
76549,07/01/2022,318,25,13,6,*,*,29,29,3,1978,363,20,*,386,12,*,*,*,*,*,*,*,*,*,14
76549,08/01/2022,353,29,15,6,*,*,24,24,3,2001,398,23,*,425,15,*,*,*,*,*,*,*,*,*,15
76549,09/01/2022,347,34,15,5,*,*,25,25,3,1996,398,21,*,423,14,*,*,*,*,*,*,*,*,*,16
77061,07/01/2022,32,*,*,*,*,*,5,5,3,1603,44,5,*,43,*,*,*,*,*,*,*,*,*,*,*
77061,08/01/2022,32,*,*,*,*,*,*,*,3,1692,43,5,*,42,*,*,*,*,*,*,*,*,*,*,*
77061,09/01/2022,35,*,*,*,*,*,*,*,3,1836,46,5,*,45,*,*,*,*,*,*,*,*,*,*,*
77573,07/01/2022,88,9,7,9,*,*,12,12,3,1882,120,*,*,122,*,*,*,*,*,*,*,*,*,*,*
77573,08/01/2022,95,10,6,11,*,*,12,12,3,1886,129,*,*,131,*,*,*,*,*,*,*,*,*,*,*
77573,09/01/2022,93,8,6,12,*,*,12,12,3,1945,127,*,*,130,*,*,*,*,*,*,*,*,*,*,*
78341,07/01/2022,*,*,*,*,*,*,*,*,3,1840,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78341,08/01/2022,*,*,*,*,*,*,*,*,3,920,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78341,09/01/2022,*,*,*,*,*,*,*,*,3,920,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78597,07/01/2022,*,*,*,*,*,*,*,*,2,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78597,08/01/2022,*,*,*,*,*,*,*,*,2,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78853,07/01/2022,56,*,*,*,*,*,*,*,4,2072,54,*,*,43,16,*,*,*,*,*,*,*,*,*,*
78853,08/01/2022,63,*,*,*,*,*,*,*,4,2168,60,*,*,49,17,*,*,*,*,*,*,*,*,*,*
78853,09/01/2022,68,*,*,*,*,*,*,*,4,2175,64,*,*,52,19,*,*,*,*,*,*,*,*,*,*
79109,07/01/2022,160,*,10,*,*,*,34,34,3,2070,183,*,*,166,*,*,*,*,*,*,*,*,*,*,42
79109,08/01/2022,153,*,13,*,*,*,33,33,3,2122,178,*,*,163,*,*,*,*,*,*,*,*,*,*,40
79109,09/01/2022,154,*,13,*,*,*,26,26,3,2107,174,*,*,161,*,*,*,*,*,*,*,*,*,*,37
16133,07/01/2022,*,*,*,*,*,*,*,*,2,3010,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
16133,08/01/2022,*,*,*,*,*,*,*,*,2,3010,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
16133,09/01/2022,*,*,*,*,*,*,*,*,2,3010,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
