ZIPCode,Reporting_Date,ChildEthnicityHispLatino,ChildRaceAmIndAlaNat,ChildRaceAsian,ChildRaceBlackAfriAmer,ChildRaceHawaiiPacific,ChildRaceWhite,ChildRaceMult,ChildMale,ChildFemale,ChildDisability,ChildAgeInfantToddler,ChildAgePrek,ChildAgeSchAge
76544,04/01/2022,11,*,*,28,*,10,*,28,23,*,13,24,15
76544,05/01/2022,13,*,*,29,*,11,*,28,27,*,15,27,13
76544,06/01/2022,15,*,*,30,*,14,*,28,31,*,17,30,12
77056,04/01/2022,12,*,*,21,*,13,*,27,18,*,13,12,20
77056,05/01/2022,12,*,*,21,*,13,*,28,18,*,14,12,20
77056,06/01/2022,12,*,*,21,*,13,*,28,18,*,13,13,20
77568,04/01/2022,38,*,*,90,*,55,*,96,88,7,55,63,67
77568,05/01/2022,45,*,*,90,*,64,*,101,93,7,55,69,71
77568,06/01/2022,44,*,*,90,*,63,*,102,93,8,52,73,71
78336,04/01/2022,20,*,*,*,*,28,*,22,23,*,10,24,12
78336,05/01/2022,13,*,*,*,*,22,*,16,22,*,12,21,5
78336,06/01/2022,14,*,*,*,*,21,*,17,20,*,12,21,*
78592,04/01/2022,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,05/01/2022,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,06/01/2022,*,*,*,*,*,*,*,*,*,*,*,*,*
79104,04/01/2022,60,*,*,*,*,35,*,36,37,*,23,28,22
79104,05/01/2022,64,*,*,*,*,38,*,36,41,*,23,29,25
79104,06/01/2022,69,*,*,*,*,40,*,38,46,*,24,33,27
79360,04/01/2022,27,*,*,*,*,35,*,21,19,*,12,19,9
79360,05/01/2022,27,*,*,*,*,33,*,21,17,*,12,18,8
79360,06/01/2022,29,*,*,*,*,34,*,22,20,*,10,23,9
75009,04/01/2022,5,*,*,10,*,8,*,14,10,*,9,14,*
75009,05/01/2022,5,*,*,8,*,11,*,12,9,*,8,12,*
75009,06/01/2022,5,*,*,8,*,12,*,12,10,*,6,14,*
76033,04/01/2022,27,*,*,9,*,67,5,50,45,*,26,42,27
76033,05/01/2022,26,*,*,7,*,67,5,48,49,*,26,43,28
76033,06/01/2022,27,*,*,7,*,68,5,50,48,*,23,46,29
76801,04/01/2022,68,*,*,12,*,169,*,93,103,*,53,85,61
76801,05/01/2022,77,*,*,14,*,178,*,101,111,5,62,86,65
76801,06/01/2022,87,*,*,16,*,194,*,112,117,5,63,95,72
77057,04/01/2022,15,*,*,67,*,24,6,66,62,*,47,52,29
77057,05/01/2022,18,*,*,67,*,27,*,66,59,*,46,50,29
77057,06/01/2022,17,*,*,66,*,26,*,63,59,*,45,48,29
77569,04/01/2022,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,05/01/2022,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,06/01/2022,*,*,*,*,*,*,*,*,*,*,*,*,*
78593,04/01/2022,25,*,*,*,*,25,*,17,8,*,8,11,6
78593,05/01/2022,27,*,*,*,*,27,*,17,10,*,10,11,6
78593,06/01/2022,27,*,*,*,*,27,*,17,10,*,10,11,6
79105,04/01/2022,*,*,*,*,*,8,*,6,*,*,*,*,*
79105,05/01/2022,*,*,*,*,*,8,*,6,*,*,*,*,*
79105,06/01/2022,*,*,*,*,*,8,*,6,*,*,*,*,*
