ZIPCode,Reporting_Date,ChildEthnicityHispLatino,ChildRaceAmIndAlaNat,ChildRaceAsian,ChildRaceBlackAfriAmer,ChildRaceHawaiiPacific,ChildRaceWhite,ChildRaceMult,ChildMale,ChildFemale,ChildDisability,ChildAgeInfantToddler,ChildAgePrek,ChildAgeSchAge
75008,01/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
75008,02/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
75008,03/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
76544,01/01/2024,17,*,*,51,*,33,13,51,54,5,43,38,24
76544,02/01/2024,20,*,*,48,*,37,15,51,56,5,47,34,26
76544,03/01/2024,18,*,*,51,*,32,15,50,52,*,45,31,26
77056,01/01/2024,10,*,*,29,*,11,*,24,26,*,17,19,16
77056,02/01/2024,9,*,*,29,*,10,*,23,26,*,17,18,16
77056,03/01/2024,11,*,*,29,*,13,*,25,27,*,20,18,16
77568,01/01/2024,70,*,*,123,*,81,16,131,124,11,73,91,93
77568,02/01/2024,75,*,*,127,*,88,13,137,129,11,82,92,94
77568,03/01/2024,73,*,*,126,*,87,15,140,130,12,82,92,97
78336,01/01/2024,15,*,*,*,*,22,*,20,20,*,19,15,6
78336,02/01/2024,19,*,*,*,*,27,*,24,23,*,21,20,6
78336,03/01/2024,21,*,*,*,*,29,*,24,25,*,21,22,6
78592,01/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,02/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,03/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
79104,01/01/2024,34,*,*,6,*,22,*,24,22,*,13,22,11
79104,02/01/2024,28,*,*,5,*,19,*,21,19,*,10,18,12
79104,03/01/2024,33,*,*,6,*,22,*,24,21,*,11,19,15
79360,01/01/2024,46,*,*,*,*,32,*,28,20,*,12,21,15
79360,02/01/2024,45,*,*,*,*,32,*,28,19,*,13,20,14
79360,03/01/2024,47,*,*,*,*,32,*,30,20,*,13,21,16
75009,01/01/2024,7,*,*,12,*,11,*,17,11,*,6,18,*
75009,02/01/2024,7,*,*,13,*,11,*,17,12,*,6,19,*
75009,03/01/2024,7,*,*,15,*,11,*,19,12,*,6,21,*
76033,01/01/2024,28,*,*,13,*,72,7,46,67,*,36,39,38
76033,02/01/2024,31,*,*,18,*,78,9,53,72,*,38,45,42
76033,03/01/2024,35,*,*,18,*,87,12,61,77,*,41,50,47
76801,01/01/2024,70,*,*,19,*,160,*,93,106,9,50,64,85
76801,02/01/2024,66,*,*,19,*,165,*,95,109,11,51,69,84
76801,03/01/2024,67,*,*,20,*,166,*,95,110,11,50,70,85
77057,01/01/2024,35,*,*,57,*,38,*,38,66,9,28,40,38
77057,02/01/2024,34,*,*,54,*,37,*,40,64,9,26,40,40
77057,03/01/2024,34,*,*,54,*,38,*,40,64,7,27,40,40
77569,01/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,02/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,03/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
78593,01/01/2024,14,*,*,*,*,14,*,8,6,*,5,*,5
78593,02/01/2024,15,*,*,*,*,15,*,8,7,*,6,*,5
78593,03/01/2024,16,*,*,*,*,17,*,8,9,*,6,6,5
79105,01/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
79105,02/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
79105,03/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
79617,01/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
79617,02/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
79617,03/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
75010,01/01/2024,15,*,*,60,*,17,9,42,56,*,29,34,35
75010,02/01/2024,15,*,*,66,*,17,8,46,57,*,31,36,36
75010,03/01/2024,17,*,*,71,*,16,8,48,59,*,29,40,38
75778,01/01/2024,*,*,*,*,*,13,*,*,10,*,7,5,*
75778,02/01/2024,*,*,*,*,*,13,*,*,10,*,7,*,*
75778,03/01/2024,*,*,*,*,*,14,*,6,8,*,7,5,*
76034,01/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
76034,02/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
76034,03/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
76802,01/01/2024,10,*,*,*,*,34,*,22,19,*,8,18,15
76802,02/01/2024,9,*,*,*,*,34,*,23,17,*,9,16,15
76802,03/01/2024,10,*,*,*,*,38,*,24,21,*,8,19,18
77058,01/01/2024,11,*,*,33,*,22,6,38,36,8,26,31,19
77058,02/01/2024,10,*,*,39,*,25,6,40,42,7,31,32,20
77058,03/01/2024,13,*,*,40,*,28,6,41,45,7,34,32,21
78594,01/01/2024,6,*,*,*,*,6,*,*,*,*,*,*,*
78594,02/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
78594,03/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
78850,01/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
78850,02/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
78850,03/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
79106,01/01/2024,107,*,*,60,*,119,*,110,112,10,66,86,70
79106,02/01/2024,104,*,*,61,*,118,*,109,108,9,69,80,68
79106,03/01/2024,113,*,*,64,*,125,*,115,110,10,72,86,67
76035,01/01/2024,*,*,*,*,*,5,*,*,*,*,*,*,*
76035,02/01/2024,*,*,*,*,*,5,*,*,*,*,*,*,*
76035,03/01/2024,*,*,*,*,*,5,*,*,*,*,*,*,*
77059,01/01/2024,15,*,*,5,*,18,*,14,14,*,9,10,9
77059,02/01/2024,9,*,*,5,*,12,*,12,10,*,8,8,6
77059,03/01/2024,11,*,*,5,*,14,*,13,11,*,8,9,7
77571,01/01/2024,93,*,*,37,*,127,*,98,102,13,45,82,74
77571,02/01/2024,94,*,*,37,*,124,*,97,97,12,43,80,72
77571,03/01/2024,91,*,*,39,*,134,*,104,101,13,46,88,72
78339,01/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
78339,02/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
78339,03/01/2024,*,*,*,*,*,*,*,*,*,*,*,*,*
78595,01/01/2024,81,*,*,*,*,81,*,43,38,*,20,22,39
78595,02/01/2024,77,*,*,*,*,77,*,42,35,*,16,24,37
78595,03/01/2024,77,*,*,*,*,77,*,42,35,*,16,24,37
79107,01/01/2024,198,*,*,109,*,107,6,164,153,5,112,118,88
79107,02/01/2024,204,*,*,109,*,112,10,166,161,5,110,120,97
79107,03/01/2024,225,*,*,118,*,126,11,172,178,6,112,136,102
79363,01/01/2024,8,*,*,*,*,16,*,15,*,*,7,12,*
