ZIPCode,ReportingDate,ReasonCC_Emp,ReasonCC_Ed,ReasonCC_EmpEd,ReasonCC_PS,ReasonCC_FedEmEmp,ReasonCC_FedEmEd,ReasonCC_FedEmEmpEd,ReasonCC_FedEmPS,AvgFamilySize,AvgMonthlyIncome,SingleParent,FamilyHomeless,FamilyMilitary,PrimLang_1,PrimLang_2,PrimLang_3,PrimLang_4,PrimLang_5,PrimLang_6,PrimLang_7,PrimLang_8,PrimLang_9,PrimLang_10,PrimLang_11,PrimLang_12
75008,01/01/2023,*,*,*,*,*,*,*,*,3,4241,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75008,02/01/2023,*,*,*,*,*,*,*,*,4,3792,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75008,03/01/2023,*,*,*,*,*,*,*,*,4,3792,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76544,01/01/2023,35,*,10,*,*,*,*,*,4,3222,23,*,*,46,*,*,*,*,*,*,*,*,*,*,*
76544,02/01/2023,34,*,10,*,*,*,*,*,4,3383,21,*,*,44,*,*,*,*,*,*,*,*,*,*,*
76544,03/01/2023,37,*,11,*,*,*,*,*,4,3249,23,*,*,48,*,*,*,*,*,*,*,*,*,*,*
77056,01/01/2023,22,*,*,*,*,*,*,*,3,2324,25,*,*,26,*,*,*,*,*,*,*,*,*,*,*
77056,02/01/2023,19,*,*,*,*,*,*,*,3,2305,22,*,*,23,*,*,*,*,*,*,*,*,*,*,*
77056,03/01/2023,19,*,*,*,*,*,*,*,3,2372,22,*,*,23,*,*,*,*,*,*,*,*,*,*,*
77568,01/01/2023,77,*,*,8,*,*,7,7,3,2270,94,*,*,93,*,*,*,*,*,*,*,*,*,*,*
77568,02/01/2023,77,*,*,7,*,*,*,*,3,2414,90,*,*,89,*,*,*,*,*,*,*,*,*,*,*
77568,03/01/2023,78,*,*,7,*,*,*,*,3,2507,92,*,*,91,*,*,*,*,*,*,*,*,*,*,*
78336,01/01/2023,33,*,*,*,*,*,*,*,3,1998,32,*,*,38,*,*,*,*,*,*,*,*,*,*,*
