ZIPCode,ReportingDate,ReasonCC_Emp,ReasonCC_Ed,ReasonCC_EmpEd,ReasonCC_PS,ReasonCC_FedEmEmp,ReasonCC_FedEmEd,ReasonCC_FedEmEmpEd,ReasonCC_FedEmPS,AvgFamilySize,AvgMonthlyIncome,SingleParent,FamilyHomeless,FamilyMilitary,PrimLang_1,PrimLang_2,PrimLang_3,PrimLang_4,PrimLang_5,PrimLang_6,PrimLang_7,PrimLang_8,PrimLang_9,PrimLang_10,PrimLang_11,PrimLang_12
75008,07/01/2023,*,*,*,*,*,*,*,*,4,3792,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75008,08/01/2023,*,*,*,*,*,*,*,*,4,3792,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75008,09/01/2023,*,*,*,*,*,*,*,*,4,3792,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76544,07/01/2023,32,*,7,*,*,*,*,*,4,3246,17,*,5,41,*,*,*,*,*,*,*,*,*,*,*
76544,08/01/2023,35,*,11,*,*,*,*,*,4,3356,23,*,6,48,*,*,*,*,*,*,*,*,*,*,*
76544,09/01/2023,35,*,10,*,*,*,*,*,4,3440,22,*,6,47,*,*,*,*,*,*,*,*,*,*,*
77056,07/01/2023,17,*,*,*,*,*,*,*,3,2423,20,*,*,20,*,*,*,*,*,*,*,*,*,*,*
77056,08/01/2023,18,*,*,*,*,*,*,*,3,2239,22,*,*,22,*,*,*,*,*,*,*,*,*,*,*
77056,09/01/2023,20,*,*,*,*,*,*,*,3,2377,24,*,*,24,*,*,*,*,*,*,*,*,*,*,*
77568,07/01/2023,81,*,5,8,*,*,*,*,3,2304,99,5,*,99,*,*,*,*,*,*,*,*,*,*,*
77568,08/01/2023,86,*,5,8,*,*,*,*,3,2305,105,5,*,104,*,*,*,*,*,*,*,*,*,*,*
77568,09/01/2023,90,*,*,9,*,*,*,*,3,2274,109,5,*,108,*,*,*,*,*,*,*,*,*,*,*
78336,07/01/2023,38,*,*,*,*,*,*,*,3,2331,35,*,*,39,*,*,*,*,*,*,*,*,*,*,*
