ZIPCode,ReportingDate,ReasonCC_Emp,ReasonCC_Ed,ReasonCC_EmpEd,ReasonCC_PS,ReasonCC_FedEmEmp,ReasonCC_FedEmEd,ReasonCC_FedEmEmpEd,ReasonCC_FedEmPS,AvgFamilySize,AvgMonthlyIncome,SingleParent,FamilyHomeless,FamilyMilitary,PrimLang_1,PrimLang_2,PrimLang_3,PrimLang_4,PrimLang_5,PrimLang_6,PrimLang_7,PrimLang_8,PrimLang_9,PrimLang_10,PrimLang_11,PrimLang_12
75008,04/01/2023,*,*,*,*,*,*,*,*,4,3792,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75008,05/01/2023,*,*,*,*,*,*,*,*,4,3792,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75008,06/01/2023,*,*,*,*,*,*,*,*,4,3792,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76544,04/01/2023,37,*,12,*,*,*,*,*,4,3208,21,*,5,49,*,*,*,*,*,*,*,*,*,*,*
76544,05/01/2023,36,*,12,*,*,*,*,*,4,3098,21,*,5,48,*,*,*,*,*,*,*,*,*,*,*
76544,06/01/2023,34,*,11,*,*,*,*,*,4,3073,20,*,5,45,*,*,*,*,*,*,*,*,*,*,*
77056,04/01/2023,19,*,*,*,*,*,*,*,3,2552,21,*,*,21,*,*,*,*,*,*,*,*,*,*,*
77056,05/01/2023,18,*,*,*,*,*,*,*,3,2343,21,*,*,21,*,*,*,*,*,*,*,*,*,*,*
77056,06/01/2023,16,*,*,*,*,*,*,*,3,2297,19,*,*,19,*,*,*,*,*,*,*,*,*,*,*
77568,04/01/2023,77,*,*,*,*,*,*,*,3,2628,87,*,*,86,*,*,*,*,*,*,*,*,*,*,*
77568,05/01/2023,79,*,*,5,*,*,*,*,4,2539,91,*,*,90,*,*,*,*,*,*,*,*,*,*,*
77568,06/01/2023,81,*,*,7,*,*,*,*,3,2445,94,*,*,94,*,*,*,*,*,*,*,*,*,*,*
78336,04/01/2023,35,*,*,*,*,*,*,*,3,2177,35,*,*,38,*,*,*,*,*,*,*,*,*,*,*
