ZIPCode,ReportingDate,ReasonCC_Emp,ReasonCC_Ed,ReasonCC_EmpEd,ReasonCC_PS,ReasonCC_FedEmEmp,ReasonCC_FedEmEd,ReasonCC_FedEmEmpEd,ReasonCC_FedEmPS,AvgFamilySize,AvgMonthlyIncome,SingleParent,FamilyHomeless,FamilyMilitary,PrimLang_1,PrimLang_2,PrimLang_3,PrimLang_4,PrimLang_5,PrimLang_6,PrimLang_7,PrimLang_8,PrimLang_9,PrimLang_10,PrimLang_11,PrimLang_12
75008,10/01/2023,*,*,*,*,*,*,*,*,4,3792,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75008,11/01/2023,*,*,*,*,*,*,*,*,4,3792,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75008,12/01/2023,*,*,*,*,*,*,*,*,4,3535,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76544,10/01/2023,36,*,12,*,*,*,*,*,4,3455,21,*,7,52,*,*,*,*,*,*,*,*,*,*,*
76544,11/01/2023,36,*,12,*,*,*,*,*,4,3593,21,*,7,51,*,*,*,*,*,*,*,*,*,*,*
76544,12/01/2023,35,*,11,*,*,*,*,*,4,3500,20,*,6,50,*,*,*,*,*,*,*,*,*,*,*
77056,10/01/2023,23,*,*,*,*,*,*,*,3,2285,27,*,*,29,*,*,*,*,*,*,*,*,*,*,*
77056,11/01/2023,24,*,*,*,*,*,*,*,3,2417,28,*,*,30,*,*,*,*,*,*,*,*,*,*,*
77056,12/01/2023,27,*,*,*,*,*,*,*,3,2485,32,5,*,33,*,*,*,*,*,*,*,*,*,*,*
77568,10/01/2023,94,*,*,11,*,*,*,*,3,2314,115,*,*,115,*,*,*,*,*,*,*,*,*,*,*
77568,11/01/2023,95,*,*,13,*,*,*,*,3,2314,116,*,*,116,*,*,*,*,*,*,*,*,*,*,*
77568,12/01/2023,100,*,*,12,*,*,*,*,3,2383,119,*,*,119,*,*,*,*,*,*,*,*,*,*,*
78336,10/01/2023,37,*,*,*,*,*,*,*,4,2459,35,*,*,39,*,*,*,*,*,*,*,*,*,*,*
78336,11/01/2023,36,*,*,*,*,*,*,*,4,2444,35,*,*,39,*,*,*,*,*,*,*,*,*,*,*
78336,12/01/2023,34,*,*,*,*,*,*,*,4,2528,33,*,*,37,*,*,*,*,*,*,*,*,*,*,*
78592,10/01/2023,*,*,*,*,*,*,*,*,4,2814,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,11/01/2023,*,*,*,*,*,*,*,*,4,2814,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,12/01/2023,*,*,*,*,*,*,*,*,4,2814,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
79104,10/01/2023,26,*,*,*,*,*,*,*,3,2264,29,*,*,28,*,*,*,*,*,*,*,*,*,*,*
79104,11/01/2023,28,*,*,*,*,*,*,*,3,2160,31,*,*,30,*,*,*,*,*,*,*,*,*,*,*
79104,12/01/2023,27,*,*,*,*,*,*,*,3,2110,31,*,*,30,*,*,*,*,*,*,*,*,*,*,*
79360,10/01/2023,20,*,*,*,*,*,*,*,4,2220,19,*,*,21,*,*,*,*,*,*,*,*,*,*,*
79360,11/01/2023,21,*,*,*,*,*,*,*,4,2281,19,*,*,21,*,*,*,*,*,*,*,*,*,*,*
79360,12/01/2023,21,*,*,*,*,*,*,*,4,2281,19,*,*,21,*,*,*,*,*,*,*,*,*,*,*
75009,10/01/2023,14,*,*,*,*,*,*,*,4,3108,13,*,*,15,*,*,*,*,*,*,*,*,*,*,*
75009,11/01/2023,15,*,*,*,*,*,*,*,4,3106,14,*,*,16,*,*,*,*,*,*,*,*,*,*,*
75009,12/01/2023,15,*,*,*,*,*,*,*,4,3106,14,*,*,16,*,*,*,*,*,*,*,*,*,*,*
75265,10/01/2023,*,*,*,*,*,*,*,*,3,2624,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75265,11/01/2023,*,*,*,*,*,*,*,*,3,2624,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75265,12/01/2023,*,*,*,*,*,*,*,*,3,2624,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76033,10/01/2023,41,*,*,8,*,*,*,*,3,2174,51,*,*,53,*,*,*,*,*,*,*,*,*,*,*
76033,11/01/2023,41,*,*,9,*,*,*,*,3,2033,52,*,*,53,*,*,*,*,*,*,*,*,*,*,*
