ZIPCode,ReportingDate,ReasonCC_Emp,ReasonCC_Ed,ReasonCC_EmpEd,ReasonCC_PS,ReasonCC_FedEmEmp,ReasonCC_FedEmEd,ReasonCC_FedEmEmpEd,ReasonCC_FedEmPS,AvgFamilySize,AvgMonthlyIncome,SingleParent,FamilyHomeless,FamilyMilitary,PrimLang_1,PrimLang_2,PrimLang_3,PrimLang_4,PrimLang_5,PrimLang_6,PrimLang_7,PrimLang_8,PrimLang_9,PrimLang_10,PrimLang_11,PrimLang_12
76544,04/01/2022,16,*,*,*,*,*,*,*,4,2259,13,*,*,22,*,*,*,*,*,*,*,*,*,*,*
76544,05/01/2022,17,*,*,*,*,*,*,*,4,2148,13,*,*,23,*,*,*,*,*,*,*,*,*,*,*
76544,06/01/2022,19,*,*,*,*,*,*,*,4,2301,15,*,*,27,*,*,*,*,*,*,*,*,*,*,*
77056,04/01/2022,19,*,*,*,*,*,*,*,3,1974,25,*,*,25,*,*,*,*,*,*,*,*,*,*,*
77056,05/01/2022,19,*,*,*,*,*,*,*,3,1942,26,*,*,25,*,*,*,*,*,*,*,*,*,*,*
77056,06/01/2022,19,*,*,*,*,*,*,*,3,1942,26,*,*,25,*,*,*,*,*,*,*,*,*,*,*
77568,04/01/2022,72,6,*,*,*,*,11,11,3,2037,92,*,*,92,*,*,*,*,*,*,*,*,*,*,*
77568,05/01/2022,76,6,*,*,*,*,11,11,3,2047,97,*,*,97,*,*,*,*,*,*,*,*,*,*,*
77568,06/01/2022,74,5,5,*,*,*,11,11,3,2041,97,*,*,97,*,*,*,*,*,*,*,*,*,*,*
78336,04/01/2022,22,*,*,*,*,*,*,*,3,2127,25,*,*,29,*,*,*,*,*,*,*,*,*,*,*
78336,05/01/2022,22,*,*,*,*,*,*,*,3,1964,26,*,*,29,*,*,*,*,*,*,*,*,*,*,*
78336,06/01/2022,23,*,*,*,*,*,*,*,3,2028,27,*,*,30,*,*,*,*,*,*,*,*,*,*,*
78592,04/01/2022,*,*,*,*,*,*,*,*,4,2284,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,05/01/2022,*,*,*,*,*,*,*,*,4,2284,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,06/01/2022,*,*,*,*,*,*,*,*,4,2284,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
79104,04/01/2022,36,*,*,*,*,*,6,6,4,1884,39,*,*,34,*,*,*,*,*,*,*,*,*,*,11
79104,05/01/2022,38,*,*,*,*,*,*,*,4,1841,39,*,*,32,*,*,*,*,*,*,*,*,*,*,13
79104,06/01/2022,41,*,*,*,*,*,*,*,4,1636,44,*,*,33,*,*,*,*,*,*,*,*,*,*,16
79360,04/01/2022,20,*,*,*,*,*,*,*,4,2323,19,*,*,20,*,*,*,*,*,*,*,*,*,*,*
79360,05/01/2022,21,*,*,*,*,*,*,*,4,2474,19,*,*,20,*,*,*,*,*,*,*,*,*,*,*
79360,06/01/2022,22,*,*,*,*,*,*,*,4,2421,20,*,*,21,*,*,*,*,*,*,*,*,*,*,*
75009,04/01/2022,11,*,*,*,*,*,*,*,4,3000,12,*,*,11,*,*,*,*,*,*,*,*,*,*,*
75009,05/01/2022,10,*,*,*,*,*,*,*,4,3397,11,*,*,9,*,*,*,*,*,*,*,*,*,*,*
75009,06/01/2022,10,*,*,*,*,*,*,*,4,3397,11,*,*,9,*,*,*,*,*,*,*,*,*,*,*
76033,04/01/2022,34,*,*,5,*,*,8,8,3,2131,47,*,*,49,*,*,*,*,*,*,*,*,*,*,*
76033,05/01/2022,33,*,*,6,*,*,8,8,3,2007,49,*,*,51,*,*,*,*,*,*,*,*,*,*,*
76033,06/01/2022,34,*,*,6,*,*,7,7,3,2105,49,*,*,51,*,*,*,*,*,*,*,*,*,*,*
76801,04/01/2022,91,*,*,9,*,*,10,10,3,2210,97,*,*,112,*,*,*,*,*,*,*,*,*,*,*
76801,05/01/2022,98,*,*,9,*,*,10,10,3,2211,105,*,*,122,*,*,*,*,*,*,*,*,*,*,*
76801,06/01/2022,104,*,*,8,*,*,10,10,3,2091,113,6,*,129,*,*,*,*,*,*,*,*,*,*,*
77057,04/01/2022,52,8,5,*,*,*,13,13,3,1707,73,*,*,76,*,*,*,*,*,*,*,*,*,*,*
77057,05/01/2022,50,8,5,*,*,*,13,13,3,1771,71,*,*,74,*,*,*,*,*,*,*,*,*,*,*
77057,06/01/2022,49,6,5,*,*,*,13,13,3,1849,68,*,*,71,*,*,*,*,*,*,*,*,*,*,*
77569,04/01/2022,*,*,*,*,*,*,*,*,3,1205,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,05/01/2022,*,*,*,*,*,*,*,*,3,1205,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,06/01/2022,*,*,*,*,*,*,*,*,3,1414,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78593,04/01/2022,11,*,*,*,*,*,*,*,3,1899,13,*,*,13,*,*,*,*,*,*,*,*,*,*,*
78593,05/01/2022,12,*,*,*,*,*,*,*,3,1788,15,*,*,15,*,*,*,*,*,*,*,*,*,*,*
78593,06/01/2022,12,*,*,*,*,*,*,*,3,1806,15,*,*,15,*,*,*,*,*,*,*,*,*,*,*
79105,04/01/2022,*,*,*,*,*,*,*,*,4,2393,*,*,*,5,*,*,*,*,*,*,*,*,*,*,*
79105,05/01/2022,*,*,*,*,*,*,*,*,3,1909,*,*,*,5,*,*,*,*,*,*,*,*,*,*,*
79105,06/01/2022,*,*,*,*,*,*,*,*,3,1909,*,*,*,5,*,*,*,*,*,*,*,*,*,*,*
75010,04/01/2022,45,*,*,*,*,*,5,5,3,2634,55,*,*,50,*,*,*,*,*,*,*,*,*,*,*
75010,05/01/2022,43,*,*,*,*,*,5,5,3,2595,54,*,*,49,*,*,*,*,*,*,*,*,*,*,*
75010,06/01/2022,44,*,*,*,*,*,*,*,3,2667,53,*,*,48,*,*,*,*,*,*,*,*,*,*,*
75778,04/01/2022,*,*,*,*,*,*,*,*,3,1440,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75778,05/01/2022,*,*,*,*,*,*,*,*,3,1440,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
75778,06/01/2022,*,*,*,*,*,*,*,*,3,1440,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76034,04/01/2022,*,*,*,*,*,*,*,*,3,1742,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76034,05/01/2022,*,*,*,*,*,*,*,*,3,1742,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76034,06/01/2022,*,*,*,*,*,*,*,*,3,1742,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
76802,04/01/2022,15,*,*,*,*,*,*,*,3,1914,15,*,*,22,*,*,*,*,*,*,*,*,*,*,*
76802,05/01/2022,17,*,*,*,*,*,*,*,3,1984,17,*,*,24,*,*,*,*,*,*,*,*,*,*,*
