ZIPCode,Reporting_Date,ChildEthnicityHispLatino,ChildRaceAmIndAlaNat,ChildRaceAsian,ChildRaceBlackAfriAmer,ChildRaceHawaiiPacific,ChildRaceWhite,ChildRaceMult,ChildMale,ChildFemale,ChildDisability,ChildAgeInfantToddler,ChildAgePrek,ChildAgeSchAge
75008,10/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
75008,11/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
75008,12/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
76544,10/01/2023,22,*,*,45,*,33,13,46,52,5,45,31,22
76544,11/01/2023,21,*,*,43,*,35,15,47,53,5,47,31,22
76544,12/01/2023,19,*,*,43,*,35,14,47,51,5,43,33,22
77056,10/01/2023,7,*,*,26,*,*,*,23,23,*,13,16,18
77056,11/01/2023,7,*,*,26,*,5,*,22,22,*,16,15,14
77056,12/01/2023,11,*,*,27,*,10,*,26,25,*,17,19,16
77568,10/01/2023,65,*,*,107,*,79,13,121,109,11,61,85,91
77568,11/01/2023,69,*,*,107,*,83,13,124,112,10,65,84,94
77568,12/01/2023,67,*,*,112,*,80,16,129,114,11,66,83,98
78336,10/01/2023,21,*,*,*,*,28,*,23,25,*,24,19,6
78336,11/01/2023,20,*,*,*,*,27,*,23,25,*,23,20,6
78336,12/01/2023,20,*,*,*,*,26,*,22,24,*,19,22,6
78592,10/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,11/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,12/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
79104,10/01/2023,37,*,*,8,*,21,*,22,24,*,17,20,9
79104,11/01/2023,42,*,*,8,*,24,*,26,25,*,18,21,12
79104,12/01/2023,41,*,*,8,*,23,*,26,24,*,17,21,12
79360,10/01/2023,37,*,*,*,*,30,*,25,14,*,12,16,11
79360,11/01/2023,39,*,*,*,*,32,*,25,16,*,11,17,13
79360,12/01/2023,41,*,*,*,*,32,*,26,17,*,11,17,15
75009,10/01/2023,6,*,*,12,*,8,*,16,11,*,6,17,*
75009,11/01/2023,6,*,*,13,*,8,*,17,11,*,7,17,*
75009,12/01/2023,6,*,*,13,*,8,*,16,12,*,5,19,*
75265,10/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
75265,11/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
75265,12/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
76033,10/01/2023,27,*,*,9,*,68,6,37,57,*,23,41,30
76033,11/01/2023,27,*,*,9,*,67,6,39,61,*,25,40,35
76033,12/01/2023,23,*,*,9,*,64,6,35,60,*,24,34,37
76801,10/01/2023,74,*,*,15,*,150,*,91,95,5,48,68,71
76801,11/01/2023,77,*,*,17,*,154,*,95,96,5,47,64,80
76801,12/01/2023,75,*,*,18,*,156,*,94,100,8,42,70,82
77057,10/01/2023,32,*,*,47,*,39,*,40,57,7,25,41,33
77057,11/01/2023,32,*,*,49,*,40,*,42,60,7,25,45,34
77057,12/01/2023,34,*,*,54,*,40,*,43,64,9,26,48,35
77569,10/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,11/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,12/01/2023,*,*,*,*,*,*,*,*,*,*,*,*,*
78593,10/01/2023,15,*,*,*,*,15,*,9,6,*,*,5,6
