ZIPCode,Reporting_Date,ChildEthnicityHispLatino,ChildRaceAmIndAlaNat,ChildRaceAsian,ChildRaceBlackAfriAmer,ChildRaceHawaiiPacific,ChildRaceWhite,ChildRaceMult,ChildMale,ChildFemale,ChildDisability,ChildAgeInfantToddler,ChildAgePrek,ChildAgeSchAge
76544,10/01/2021,*,*,*,23,*,*,*,18,20,*,18,10,11
76544,11/01/2021,*,*,*,21,*,*,*,19,18,*,19,10,9
76544,12/01/2021,*,*,*,22,*,*,*,22,16,*,16,13,9
77056,10/01/2021,11,*,*,15,*,13,*,24,11,*,10,12,13
77056,11/01/2021,9,*,*,14,*,11,*,21,11,*,9,12,11
77056,12/01/2021,10,*,*,14,*,12,*,22,11,*,9,12,12
77312,10/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
77312,11/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
77312,12/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
77568,10/01/2021,41,*,*,104,*,49,*,102,83,*,49,64,73
77568,11/01/2021,40,*,*,103,*,49,*,101,83,*,47,62,76
77568,12/01/2021,38,*,*,107,*,47,*,101,84,*,44,64,78
78336,10/01/2021,26,*,*,*,*,35,*,24,26,*,9,24,19
78336,11/01/2021,26,*,*,*,*,32,*,23,28,*,10,29,16
78336,12/01/2021,26,*,*,*,*,32,*,23,23,*,10,25,15
78592,10/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,11/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,12/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
79104,10/01/2021,55,*,*,*,*,32,*,31,35,*,23,23,20
79104,11/01/2021,54,*,*,*,*,34,*,30,35,*,23,21,21
79104,12/01/2021,54,*,*,*,*,34,*,31,35,*,22,24,20
79360,10/01/2021,29,*,*,*,*,30,*,21,18,*,17,13,9
79360,11/01/2021,27,*,*,*,*,30,*,21,16,*,16,12,9
79360,12/01/2021,27,*,*,*,*,33,*,21,19,*,15,15,10
75009,10/01/2021,*,*,*,7,*,6,*,10,5,*,6,9,*
75009,11/01/2021,*,*,*,7,*,7,*,12,7,*,8,9,*
75009,12/01/2021,*,*,*,7,*,7,*,12,7,*,6,11,*
76033,10/01/2021,20,*,*,11,*,50,*,41,33,*,19,32,23
76033,11/01/2021,24,*,*,11,*,58,*,42,40,*,22,36,24
76033,12/01/2021,26,*,*,12,*,56,*,43,38,*,23,33,25
76801,10/01/2021,70,*,*,11,*,148,*,84,93,*,53,66,61
76801,11/01/2021,66,*,*,11,*,144,*,82,87,*,48,65,59
76801,12/01/2021,67,*,*,13,*,149,*,86,91,*,50,69,61
77057,10/01/2021,19,*,*,43,*,23,*,48,39,*,36,29,22
77057,11/01/2021,19,*,*,46,*,23,*,52,43,*,38,30,27
77057,12/01/2021,19,*,*,52,*,22,*,55,46,*,39,35,27
77569,10/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,11/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
77569,12/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78593,10/01/2021,28,*,*,*,*,27,*,19,9,*,9,14,5
78593,11/01/2021,29,*,*,*,*,28,*,20,9,*,9,13,7
78593,12/01/2021,28,*,*,*,*,27,*,19,9,*,9,12,7
79105,10/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
79105,11/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
79105,12/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
75010,10/01/2021,18,*,*,36,*,10,9,41,29,*,21,20,29
75010,11/01/2021,18,*,*,39,*,10,9,43,30,*,22,19,32
75010,12/01/2021,19,*,*,40,*,11,7,43,30,*,21,21,31
75778,10/01/2021,*,*,*,*,*,6,*,5,*,*,*,*,*
75778,11/01/2021,*,*,*,*,*,7,*,6,*,*,*,*,*
75778,12/01/2021,*,*,*,*,*,7,*,6,*,*,*,*,*
76034,10/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
76034,11/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
76034,12/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
76802,10/01/2021,7,*,*,*,*,24,*,24,11,*,13,9,13
76802,11/01/2021,8,*,*,*,*,25,*,24,12,*,14,9,13
76802,12/01/2021,9,*,*,*,*,26,*,25,12,*,13,10,14
77058,10/01/2021,29,*,*,30,*,49,*,39,48,7,24,35,29
77058,11/01/2021,29,*,*,29,*,49,*,37,50,6,25,35,28
77058,12/01/2021,29,*,*,30,*,49,*,38,50,6,24,34,30
78594,10/01/2021,8,*,*,*,*,8,*,*,6,*,*,*,*
78594,11/01/2021,8,*,*,*,*,8,*,*,6,*,*,*,*
78594,12/01/2021,8,*,*,*,*,8,*,*,6,*,*,*,*
78850,10/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78850,11/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78850,12/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
79106,10/01/2021,131,*,*,73,*,129,10,135,121,*,83,80,96
79106,11/01/2021,134,*,*,74,*,129,10,137,123,*,85,83,95
79106,12/01/2021,144,*,*,76,*,125,11,143,129,*,84,92,97
75011,10/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
75011,11/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
75011,12/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
76035,10/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
76035,11/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
76035,12/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
76547,10/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
76547,11/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
76547,12/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
77059,10/01/2021,7,*,*,*,*,10,*,*,10,*,*,7,*
77059,11/01/2021,7,*,*,*,*,10,*,*,10,*,*,6,5
77059,12/01/2021,7,*,*,*,*,10,*,*,10,*,*,6,5
77571,10/01/2021,67,*,*,20,*,103,*,86,75,*,49,58,54
77571,11/01/2021,65,*,*,19,*,100,*,83,74,*,47,54,56
77571,12/01/2021,66,*,*,18,*,103,*,83,71,*,45,52,57
78595,10/01/2021,68,*,*,*,*,69,*,32,37,*,17,19,33
78595,11/01/2021,67,*,*,*,*,68,*,31,37,*,17,20,31
78595,12/01/2021,68,*,*,*,*,69,*,32,37,*,14,22,33
79107,10/01/2021,187,*,5,104,*,104,*,166,128,*,100,90,104
79107,11/01/2021,195,*,6,110,*,112,*,174,135,*,108,96,105
79107,12/01/2021,203,*,5,113,*,117,*,183,138,*,107,106,108
79363,10/01/2021,6,*,*,*,*,5,*,*,*,*,*,*,*
79363,11/01/2021,6,*,*,*,*,5,*,*,*,*,*,*,*
79363,12/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
76036,10/01/2021,14,*,*,61,*,29,*,58,60,*,35,51,33
76036,11/01/2021,15,*,*,65,*,32,*,63,63,*,36,54,38
76036,12/01/2021,15,*,*,65,*,30,*,60,64,*,36,52,38
76548,10/01/2021,43,*,*,98,*,49,17,103,87,*,54,86,56
76548,11/01/2021,41,*,*,101,*,50,18,104,91,*,60,82,59
76548,12/01/2021,39,*,*,104,*,52,19,109,90,*,63,81,61
77060,10/01/2021,67,*,*,149,*,56,*,139,117,*,62,95,99
77060,11/01/2021,69,*,*,152,*,60,*,144,119,*,68,93,102
77060,12/01/2021,69,*,*,148,*,59,*,146,118,*,68,88,108
77316,10/01/2021,9,*,*,10,*,43,*,31,36,*,12,29,26
77316,11/01/2021,9,*,*,8,*,44,*,31,35,*,10,27,29
77316,12/01/2021,10,*,*,8,*,42,*,30,34,*,10,27,27
77572,10/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
77572,11/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
77572,12/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78596,10/01/2021,501,*,*,*,*,510,*,259,252,*,146,168,198
