ZIPCode,Reporting_Date,ChildEthnicityHispLatino,ChildRaceAmIndAlaNat,ChildRaceAsian,ChildRaceBlackAfriAmer,ChildRaceHawaiiPacific,ChildRaceWhite,ChildRaceMult,ChildMale,ChildFemale,ChildDisability,ChildAgeInfantToddler,ChildAgePrek,ChildAgeSchAge
76544,04/01/2021,*,*,*,7,*,*,*,10,9,*,18,9,*
76544,05/01/2021,*,*,*,18,*,*,*,12,18,*,20,15,*
76544,06/01/2021,*,*,*,18,*,*,*,14,14,*,19,13,*
77056,04/01/2021,8,*,*,10,*,8,*,15,9,*,6,11,7
77056,05/01/2021,8,*,*,10,*,8,*,15,9,*,6,11,7
77056,06/01/2021,7,*,*,11,*,8,*,16,8,*,5,12,7
77568,04/01/2021,32,*,*,85,*,39,*,76,72,5,36,50,63
77568,05/01/2021,32,*,*,88,*,41,*,78,73,*,37,51,64
77568,06/01/2021,34,*,*,92,*,43,*,86,74,5,42,52,68
78336,04/01/2021,27,*,*,*,*,34,*,22,25,*,14,28,12
78336,05/01/2021,26,*,*,*,*,35,*,24,24,*,15,30,11
78336,06/01/2021,28,*,*,*,*,35,*,21,26,*,14,28,14
78592,04/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,05/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,06/01/2021,*,*,*,*,*,*,*,*,*,*,*,*,*
79104,04/01/2021,57,*,*,*,*,39,*,33,30,*,22,27,16
79104,05/01/2021,68,*,*,*,*,43,*,37,39,*,25,30,23
79104,06/01/2021,75,*,*,*,*,45,*,43,41,*,27,31,27
79360,04/01/2021,24,*,*,*,*,31,*,20,17,*,18,12,7
79360,05/01/2021,27,*,*,*,*,28,*,18,18,*,17,12,7
79360,06/01/2021,27,*,*,*,*,27,*,17,18,*,16,12,7
75009,04/01/2021,*,*,*,5,*,9,*,10,5,*,7,8,*
75009,05/01/2021,*,*,*,7,*,9,*,12,5,*,6,11,*
75009,06/01/2021,*,*,*,7,*,7,*,10,5,*,5,10,*
76033,04/01/2021,14,*,*,12,*,46,*,45,28,*,17,33,23
